Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Eccentricity,Nucleus Compactness,Nucleus Texture Variance
control,0.014180478,11524,0.699313621,1.329960669,0.34593831
control,0.016401799,8591,0.599310568,1.222043746,0.298516252
control,0.015628174,18171,0.609276005,1.132009962,0.41685128
control,0.016335636,12534,0.634482326,1.231808876,0.194717387
control,0.016404129,13918,0.708727643,1.334648474,0.281547398
control,0.015558979,8285,0.741846672,1.449209226,0.108330482
control,0.021130768,13208,0.774495915,1.210711049,0.687831672
control,0.014728503,14534,0.749365678,1.202379724,0.272599588
control,0.015974922,11760,0.689807769,1.268467341,0.185572621
control,0.015845325,14919,0.619539022,1.141052079,0.308808521
control,0.017028957,15817,0.756224065,1.19541468,0.538981944
control,0.013230626,9081,0.810694384,2.039939981,0.225991621
control,0.017443412,18563,0.462373653,1.743286278,0.322914942
control,0.019159841,10819,0.678094196,1.157378158,0.404252114
control,0.019342569,12788,0.635541524,1.172819492,0.47898223
control,0.014904212,14713,0.516264647,1.149963451,0.378408638
control,0.019680186,14550,0.656152435,1.176857123,0.555245245
control,0.018127555,8444,0.778714875,1.639098634,0.39966202
control,0.015238039,16632,0.537650649,1.161283905,0.404607854
control,0.018972137,14336,0.57701646,1.179903176,0.317341594
control,0.019881837,26212,0.817980056,1.843957531,1.310098217
control,0.021404936,14485,0.531437165,1.245668212,0.886386629
control,0.017825302,8639,0.821234573,1.281994861,0.385189702
control,0.018035145,13343,0.677940711,1.771968347,0.402950248
control,0.018548193,8908,0.621162819,1.331237314,0.411258939
control,0.014886225,19740,0.52249292,1.145609188,0.286442889
control,0.015028141,17027,0.593953096,1.145624806,0.352008488
control,0.018500248,9603,0.692465792,1.165700396,0.290625826
control,0.015696869,8609,0.711551014,1.201794752,0.276947296
control,0.013975126,13940,0.743726214,1.182566142,0.280760142
control,0.015076678,13219,0.558634209,1.152496092,0.278478185
control,0.018894298,18957,0.620031741,1.202346889,0.351530074
control,0.012563985,8326,0.865718574,1.762667241,0.124662751
control,0.016236456,7965,0.846143009,1.271440249,0.324918327
control,0.021110905,7890,0.524096024,1.141876674,0.803706083
control,0.013382669,10128,0.719752776,1.246952435,0.250638334
control,0.015903814,14261,0.412587098,1.135509602,0.251017198
control,0.014845078,8481,0.714087835,1.177780414,0.296610431
control,0.015252926,17662,0.74908662,1.681160005,0.837655424
control,0.014266056,18092,0.609020614,1.14719238,0.343916336
control,0.018333165,7901,0.626542519,1.151945498,0.310527549
control,0.013145838,10539,0.61172462,1.617421707,0.232223519
control,0.016659612,16368,0.756005591,1.19331882,0.263764301
control,0.015862461,17802,0.448019524,1.159890067,0.253966222
control,0.015047171,15205,0.721883243,1.169022769,0.272628468
control,0.017632439,14680,0.540085602,1.121757506,0.288194893
control,0.015827155,16920,0.437568721,1.145552872,0.227166126
control,0.01590763,10339,0.68277673,1.384838101,0.15718104
control,0.014314498,9324,0.635020239,1.165272804,0.232692269
control,0.016182768,10422,0.795509667,1.265196512,0.184570143
control,0.015084275,9773,0.742057606,1.187251533,0.216932334
control,0.012084868,14957,0.73934196,1.536454635,0.238624557
control,0.014897987,8081,0.50370045,1.214335664,0.108121171
control,0.013751993,9977,0.612063405,1.178163641,0.251036867
control,0.014872977,9103,0.737372746,1.23489358,0.172146729
control,0.012521796,24940,0.812181732,2.132130499,0.382667384
control,0.015146103,15763,0.605185746,1.273810836,0.331121723
control,0.013730189,17835,0.893307262,1.812053768,0.297120068
control,0.014052785,15193,0.552273565,1.279103813,0.264634796
control,0.014308256,9622,0.770421671,1.92085487,0.200961883
control,0.011074255,10222,0.853161745,2.048199213,0.236509337
control,0.013330082,20504,0.869724699,2.674873816,0.343899988
control,0.012418861,12512,0.550721627,1.254784113,0.242562682
control,0.012465819,19928,0.884068276,3.358385875,0.121934326
control,0.01350194,9338,0.078890332,1.696191777,0.239890167
control,0.013678819,9302,0.722384023,1.682266438,0.256233841
control,0.012545511,9804,0.765503675,1.906319173,0.101598869
control,0.01457977,19288,0.892980467,2.611988689,0.663777137
control,0.013430594,15000,0.742842627,1.356324793,0.353717594
control,0.014218906,25449,0.862559805,2.123315848,0.396896619
control,0.014655368,16369,0.499739941,2.032248325,0.330648896
control,0.014904282,23332,0.573438073,1.163448122,0.291300782
control,0.017250734,12905,0.626664755,1.386666666,0.394853247
control,0.012946452,15275,0.566998102,2.154818098,0.248463235
control,0.016137855,27104,0.332720247,2.918855672,0.316305196
control,0.013117911,10455,0.611423163,1.185022885,0.226169128
control,0.01330532,11765,0.524087638,1.268760883,0.44521193
control,0.013923971,19437,0.776523233,1.761832685,0.272083006
control,0.012869131,20931,0.616398022,1.149292577,0.205621237
control,0.015546998,12069,0.698189185,1.172239548,0.20102006
control,0.01333719,10964,0.774381951,1.29063781,0.240583212
control,0.01301629,18773,0.674342066,1.192774534,0.281380086
control,0.015769432,12883,0.522806927,1.138198402,0.201157586
control,0.015504357,9254,0.84098135,1.482158764,0.114530962
control,0.015926016,12241,0.710287711,1.604494763,0.318910312
