Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Roundness,Nucleus Texture Variance,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
control,0.033440148,20197,0.848029958,2.110973645,2.139590629,2.129798986,2.10476383,2.069741136
control,0.019537162,16272,0.655986139,0.22230959,0.223483842,0.221414859,0.223310461,0.221029198
control,0.027782653,17199,0.599217674,3.679868368,3.698930646,3.686680741,3.713628088,3.620233997
control,0.038014962,13808,0.667604235,4.046382298,4.06543507,4.10297536,4.091625776,3.925492987
control,0.034048465,13456,0.789962858,2.661576269,2.664115468,2.608567682,2.773345697,2.600276229
control,0.027666117,22892,0.838793228,1.115814151,1.118751136,1.117989045,1.116256641,1.11025978
control,0.023112762,18927,0.666768917,0.556047151,0.556964268,0.556027345,0.557692426,0.553504566
control,0.039567105,20003,0.695283704,4.023119315,4.045909005,3.934526437,4.094628551,4.017413266
control,0.032838528,14911,0.601438311,1.864672129,1.872656199,1.82386444,1.903530646,1.858637232
control,0.020476497,15877,0.774458815,0.293655419,0.293225534,0.293666594,0.292921354,0.294808192
control,0.039859374,16758,0.360595306,3.654767867,3.687808691,3.619021103,3.716572868,3.595668807
control,0.0271482,11667,0.765517704,0.619021305,0.617020812,0.614827691,0.630133619,0.614103099
control,0.030154748,24389,0.838543472,3.058165396,3.05618146,3.037511299,3.079124157,3.05984467
control,0.027998408,19032,0.614763965,0.831660906,0.834534411,0.825940567,0.840234215,0.825934432
control,0.045883298,19354,0.550029468,6.212381221,6.35601453,6.063838602,6.284137506,6.145534248
control,0.033366561,16843,0.422507492,6.467797795,6.463178341,6.475647863,6.458472982,6.473891993
control,0.037352779,23680,0.701202884,6.980325493,7.043459951,6.937583363,7.001705708,6.938552952
control,0.024059431,14461,0.615508986,0.716768461,0.724196292,0.714535565,0.720826043,0.707515944
control,0.028853808,12997,0.211672871,7.154419438,7.149658861,7.161596527,7.148508816,7.157913549
control,0.028535932,15460,0.469232443,1.480020833,1.485797945,1.465286846,1.490104302,1.478894238
control,0.024964985,16859,0.639582585,1.573511228,1.584284668,1.546295907,1.585632716,1.577831621
control,0.028138326,17363,0.581553475,0.866104835,0.872792754,0.862899988,0.868665994,0.860060605
control,0.031588172,15597,0.670498264,1.338320343,1.371299976,1.295665934,1.348480444,1.337835019
control,0.023817053,16734,0.681229614,1.04016383,1.060530938,1.018689008,1.042301988,1.039133388
control,0.018732958,14677,0.531959145,0.27426166,0.274074732,0.273254482,0.275101785,0.27461564
control,0.03144276,14932,0.651116345,1.852617543,1.85817449,1.801849246,1.905220227,1.845226208
control,0.027364986,15408,0.812812671,1.538258474,1.536795121,1.538374611,1.547635546,1.530228617
control,0.027906629,18666,0.528547846,1.614989764,1.619825293,1.586095704,1.645302717,1.608735341
control,0.023943661,18438,0.768618853,0.792711767,0.787755522,0.782651186,0.811599929,0.788840431
control,0.015800125,15188,0.626403447,0.123182426,0.124301259,0.123032939,0.122524215,0.122871291
control,0.017306268,17684,0.592831992,0.280685973,0.27956863,0.281272749,0.281572868,0.280329645
control,0.024595241,22065,0.87428372,0.715477054,0.730367931,0.705718399,0.714194634,0.711627252
control,0.02904995,21083,0.748999773,1.372153476,1.385690523,1.332787621,1.383787786,1.386347972
control,0.028735283,21500,0.592994633,4.097510984,4.101529225,4.098766557,4.100123137,4.089625017
control,0.03337447,19844,0.504598864,1.80735626,1.818288657,1.809518907,1.809904889,1.791712589
control,0.020822504,12326,0.610842594,0.304471446,0.301975551,0.305446489,0.310021345,0.300442399
control,0.031285049,18503,0.750900419,1.54004007,1.571268846,1.54758892,1.54413841,1.497164106
control,0.035425895,12055,0.751142404,3.218903281,3.2192146,3.1706253,3.310565221,3.175208005
control,0.040653061,12623,0.436303625,32.19212096,32.12459988,32.22221545,32.14056974,32.28109877
control,0.030138566,19610,0.608234364,0.972792018,0.972138916,0.967277894,0.984177828,0.967573434
control,0.016856308,11660,0.88469675,0.20626695,0.204946951,0.206601143,0.2061435,0.207376205
control,0.02802799,20256,0.628941355,1.350541139,1.36314613,1.359421052,1.356726294,1.322871082
control,0.01393015,14463,0.771050504,0.244346954,0.244357931,0.244242106,0.244412233,0.244375546
control,0.028996147,22216,0.332020128,2.041265843,2.045496435,2.040122113,2.044275349,2.035169476
control,0.024289683,23995,0.689861278,0.665583963,0.662376562,0.662404976,0.67837387,0.659180444
control,0.021681563,17403,0.556706591,0.63459467,0.641480782,0.637511884,0.638482723,0.620903292
control,0.030004461,11646,0.214329121,12.07703265,12.06689097,12.08238921,12.07425485,12.08459557
control,0.014601228,23493,0.688452279,0.25833851,0.260517271,0.257431165,0.258573286,0.25683232
control,0.026283475,22632,0.497016029,1.219175889,1.236623811,1.213172021,1.239957105,1.186950621
control,0.021582085,14379,0.556779015,0.586540055,0.587971885,0.584124023,0.589048108,0.585016205
control,0.017141269,16328,0.72019635,0.360529321,0.367065198,0.36516841,0.360017363,0.349866313
control,0.025857936,14037,0.652017912,0.500195522,0.499310918,0.503294841,0.501382357,0.496793971
control,0.029804331,12579,0.767498546,0.836603468,0.838620823,0.814955343,0.850964823,0.841872882
control,0.022825551,15661,0.507696084,1.993617666,1.995092415,2.000851438,1.985451635,1.993075175
control,0.022793687,12577,0.827970511,0.477348112,0.485791934,0.48503105,0.482823018,0.455746446
control,0.026480595,12995,0.539806469,0.51061408,0.512669025,0.509172627,0.511530215,0.509084452
control,0.036256058,17092,0.458307398,1.617215259,1.631482031,1.60274923,1.645858265,1.58877151
control,0.030886358,14830,0.67633215,0.84494479,0.842082885,0.847352914,0.846539501,0.843803861
control,0.035639231,12332,0.864102799,3.076396494,3.086532362,3.01482194,3.109333015,3.094898659
control,0.057868267,13550,0.715641462,35.99074741,35.97617532,36.00814063,36.05099028,35.9276834
control,0.029807501,11623,0.790533011,0.669538223,0.670029758,0.675327449,0.673640056,0.659155627
