ImageNumber,ObjectNumber,Metadata_Cell,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_batch,Metadata_channel,Metadata_hour,Metadata_hour,Metadata_label,Metadata_label,Metadata_time,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9
1,1,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,25537,34776,739,403,555,214,644.0115127,306.6398951,1.124907797,25715,0.544586913,180.3183802,1,0.734328272,0.888961746,197.2376422,195.1512234,80.60397013,29.37583383,26.07680962,161.3962606,165.4240811,-39.57502022,600.8254685,0.99307797,0.851906485,0.030116462,0.110211879,0.063700003,0.011329604,0.006280193,0.057987816,0.022314045,0.010515629,0.011098985,0.009344992,0.005688697,0.018179015,0.006329686,0.009127324,0.009252345,0.009257635,0.009749523,0.002513256,0.004194389,0.000999724,0.012776332,0.007601176,0.00487731,0.00233305,0.000832256,0.002997076,0.00199797,0.001441679,0.000980944
1,2,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,31116,42262,1319,494,1093,307,1209.351491,402.4446587,1.249156912,31705,0.764626621,199.0430146,1,0.736264256,0.80053994,249.105554,256.3298656,80.95677859,29.99944322,26.92582404,162.827644,160.5419356,60.72761884,698.884343,0.981422489,0.602969662,0.023225424,0.198188353,0.082346404,0.01545013,0.011311873,0.015334361,0.023769737,0.027929457,0.008127078,0.0074642,0.005197176,0.0254627,0.025404715,0.001986477,0.012175111,0.010723221,0.006633167,0.001986926,0.00348956,0.0026681,0.006837139,0.014736158,0.001170403,0.005992955,0.005089227,0.001283084,0.004428438,0.001178246,0.003273498
1,3,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,40145,52658,711,665,478,439,590.7808693,551.7374268,1.127181538,40447,0.31450592,226.0845008,1,0.762372289,0.88716854,232.5120698,234.2690761,106.1037228,37.17970509,32.89376841,218.8861631,220.7133637,-67.4053575,754.0803025,0.992533439,0.918189666,0.017804338,0.069910826,0.021925183,0.010635161,0.032059044,0.05037612,0.011952354,0.005503947,0.003830812,0.017055561,0.005760653,0.029608185,0.0028745,0.005785386,0.000796578,0.004906648,0.004994534,0.002656442,0.003521933,0.013156539,0.0032057,0.005332992,0.003660815,0.002804576,0.005647593,0.004747064,0.004636071,0.001579927,0.001989264
1,4,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,27087,40176,344,975,182,727,263.5370842,848.0346292,2.266531708,30682,0.795554525,185.7100954,1,0.674208483,0.44120274,253.1879163,248.2941804,53.03772242,20.30785815,18.35755975,161,153.4020011,-2.816534642,878.3473298,0.882830324,0.557969244,0.091536244,0.132401983,0.078003685,0.051253338,0.022592801,0.048496122,0.025374954,0.020699338,0.005708441,0.00633355,0.006082854,0.02410363,0.004650967,0.005966478,0.008271037,0.001839625,0.021308345,0.006056358,0.001637976,0.009621071,0.009897791,0.006490372,0.003297631,0.003545178,0.019600509,0.004654112,0.005282637,0.00743702,0.00385586
1,5,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,10088,14577,277,1096,164,967,221.2525773,1036.085646,1.225373636,10478,0.537958839,113.3333161,1,0.692049118,0.816077619,124.1473185,134.6291202,50.28916384,17.95455002,15.8113883,105.552856,104.6526026,-27.0591424,394.1320344,0.962779156,0.708658788,0.070573749,0.179192753,0.04584819,0.015920323,0.010473339,0.051561826,0.006085474,0.013906034,0.025070535,0.013065403,0.007940912,0.009079695,0.01094246,0.002382437,0.008951732,0.015851866,0.007639152,0.012953309,0.004372935,0.0081803,0.007191638,0.002678478,0.005746071,0.006016887,0.011569678,0.004540739,0.004041035,0.004197299,0.000670764
1,6,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,15963,21584,1356,1551,1214,1399,1284.5026,1470.27332,1.14727995,16178,0.443277466,142.5648023,1,0.739575612,0.871626842,151.1331576,153.4438008,66.09841148,23.11981326,20.51828453,132.3752243,135.4734129,-19.68969435,479.7300141,0.986710347,0.828146463,0.026859926,0.131385315,0.038280957,0.011020598,0.023485547,0.071699991,0.014315182,0.008477941,0.006380828,0.00346392,0.023300998,0.02035727,0.005543105,0.004551888,0.002823576,0.009492031,0.006089776,0.007406081,0.00947449,0.006306278,0.009788267,0.00631915,0.003767768,0.001631229,0.00595499,0.004902096,0.003647526,0.004390118,0.002445501
1,7,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,8792,11739,638,1708,509,1617,572.0424249,1663.282188,1.191190489,8962,0.718505363,105.8032234,1,0.74895647,0.839496293,127.3902775,128.1405478,44.01136217,16.49371836,14.86606875,88.39916156,88.60266652,-88.58828494,362.7766953,0.98103102,0.679678098,0.067012103,0.169671358,0.080046395,0.01849274,0.010317416,0.03100604,0.011046534,0.028384357,0.028887831,0.010281934,0.007275508,0.007882331,0.015363867,0.004934407,0.011186286,0.006196598,0.010428223,0.007466908,0.000766562,0.002194711,0.008252729,0.007113095,0.004904448,0.004587438,0.013269164,0.007792115,0.00332932,0.004857846,0.002654756
1,8,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,20708,27600,1285,1784,1147,1584,1214.760576,1681.825913,1.223940978,21151,0.722470086,162.3768595,1,0.750289855,0.817032862,195.9011587,204.4749373,68,24.9618911,22.20360331,137,135.4464882,-14.82759691,564.3574311,0.979055364,0.630527686,0.041948616,0.197326883,0.074152982,0.010929876,0.014719793,0.026172055,0.014420027,0.02473367,0.015670771,0.007717937,0.008346267,0.026059281,0.023039779,0.003197721,0.012323025,0.00592575,0.011128396,0.004703571,0.005142574,0.00366039,0.005375396,0.011362617,0.003760747,0.006193309,0.007077897,0.005471783,0.007096177,0.001983265,0.001585334
1,9,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,17161,23550,1767,1826,1610,1676,1687.621817,1754.358895,1.165250574,17512,0.229854661,147.8176709,1,0.728704883,0.858184516,150.7288357,157.276826,68.94200461,23.83200303,21.09502311,144.9568901,146.6930661,81.86569126,501.2863633,0.979956601,0.831060302,0.026345007,0.130227349,0.009146871,0.01244546,0.038863989,0.071988085,0.001847212,0.022081382,0.001005393,0.013340895,0.009797545,0.020180867,0.003209577,0.006166448,0.006334718,0.007127652,0.004286669,0.005146757,0.011374481,0.008027518,0.003585866,0.003730784,0.006975643,0.005177704,0.005350481,0.009761307,0.005360797,0.004477839,0.002460611
1,10,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,8635,11448,1585,1899,1477,1793,1532.060452,1845.756572,1.160603807,8822,0.550114294,104.8542964,1,0.754280224,0.861620472,115.093821,118.4440796,46.87216658,16.87482908,15,94.54880938,96.11362698,-43.15053448,354.8772004,0.978802993,0.783692599,0.012459585,0.155280484,0.05579931,0.004350388,0.010646967,0.071812942,0.014220915,0.019725477,0.007772919,0.005926536,0.008819205,0.009907821,0.012646301,0.01086656,0.007228039,0.002725469,0.006134171,0.005444998,0.0066346,0.01320449,0.014573381,0.006124706,0.006641777,0.00572437,0.00598209,0.002001179,0.003660921,0.003014231,0.00249716
