ImageNumber,ObjectNumber,Metadata_Cell,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_batch,Metadata_channel,Metadata_hour,Metadata_hour,Metadata_label,Metadata_label,Metadata_time,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9
1,1,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,20199,26019,297,361,120,214,208.277588,288.043319,1.29418795,20767,0.594791839,160.3688422,1,0.776317307,0.772685297,179.4146378,181.2070639,70.17834424,25.43427026,22.47220505,141.83535,144.227796,73.21943752,573.1503243,0.972648914,0.781409045,0.047697047,0.146527459,0.065999704,0.009568009,0.005883822,0.05991076,0.014594974,0.0140548,0.017808443,0.015868756,0.004531396,0.009471394,0.016358972,0.010122912,0.001303772,0.007386155,0.007601179,0.004231659,0.003666663,0.003389013,0.012263274,0.001310669,0.002665988,0.00406771,0.006311674,0.006794305,0.006353258,0.001269252,0.001662954
1,2,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,34192,58642,501,622,232,404,386.5413255,514.0663606,1.566157187,37934,0.741432362,208.6494824,1,0.583063333,0.638505514,260.147054,275.8550344,88.28363382,29.51147673,26.17250466,182.0100427,174.5658557,-55.41255247,820.3229432,0.901354985,0.572067652,0.104157486,0.16525631,0.062134333,0.039514171,0.02332893,0.014425368,0.035702681,0.008718264,0.015771822,0.01177727,0.005705858,0.004999826,0.020918335,0.013360295,0.008333684,0.012531625,0.010804048,0.012830338,0.004482345,0.00481828,0.006039312,0.003957319,0.01176216,0.002406333,0.007978323,0.005956299,0.002787929,0.00778613,0.000907628
1,3,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,24118,37800,293,834,104,634,182.3642508,727.7370843,1.362833874,25814,0.527298873,175.2369577,1,0.638042328,0.733765149,195.512817,199.3037882,71.50524456,25.75979407,22.8035085,173.5426277,166.1233069,-24.92510605,642.6833329,0.934299217,0.708754707,0.049221832,0.163591122,0.040218804,0.015703378,0.058029201,0.039899477,0.018933005,0.01815606,0.020851931,0.01090841,0.003857169,0.003119961,0.011194355,0.01125216,0.013204143,0.007597862,0.018447498,0.005297839,0.015509746,0.002390895,0.006807134,0.005123299,0.004824323,0.002914797,0.008935983,0.011588957,0.00432023,0.00530341,0.006299705
1,4,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,44947,61440,1959,882,1719,626,1842.149643,754.9405967,1.486979308,47845,0.412292778,239.2243671,1,0.731559245,0.672504314,251.8010555,260.5475005,105.3802638,36.82494026,32.28002478,233.1252642,229.4037057,7.631693827,916.4478349,0.939429407,0.827627193,0.058190992,0.125062483,0.029181453,0.020433675,0.006510863,0.063377998,0.00367306,0.014524631,0.010898454,0.010965347,0.014736533,0.021002935,0.008067556,0.0076738,0.004306425,0.01611067,0.005018164,0.008767153,0.003202103,0.005501134,0.004888952,0.007778935,0.004548113,0.007754104,0.00814453,0.004620815,0.00645598,0.00164251,0.004111331
1,5,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,22633,35512,1754,868,1570,675,1665.905625,780.3690629,1.637827996,24499,0.618146893,169.7563861,1,0.637333859,0.610564725,197.0416091,206.8163436,65.76473219,23.82152361,21.26029163,162.0905761,154.8870406,-31.5922919,682.51176,0.923833626,0.663295539,0.071121568,0.168548826,0.054382698,0.018323475,0.040953883,0.026378364,0.022322977,0.029988159,0.024524744,0.018289258,0.012428502,0.002144069,0.013577363,0.005358421,0.006671763,0.009741194,0.004749226,0.00897999,0.013398772,0.005754231,0.004555675,0.015993063,0.006823185,0.005698474,0.00565005,0.006810136,0.002772265,0.002324085,0.003615167
1,6,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,28805,37056,965,1029,772,837,866.2525603,932.1943065,1.163716218,29371,0.316641315,191.5089165,1,0.777337003,0.859316029,196.7560636,201.7176244,91.78779875,31.37870535,27.58622845,188.2934247,186.6320489,-37.1357366,649.0264787,0.980729291,0.892765527,0.014486076,0.093166491,0.021217449,0.009904872,0.002587283,0.069073394,0.013284713,0.008722352,0.004195484,0.001202264,0.006698694,0.041494156,0.004825232,0.003962606,0.002723229,0.001444019,0.002925935,0.002673236,0.005488657,0.017066088,0.002599592,0.000183163,0.000258586,0.002386381,0.003999683,0.003084387,0.000697678,0.00202042,0.003233911
1,7,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,15907,30227,1967,1152,1786,985,1858.354372,1050.521909,1.858873898,19892,0.834663694,142.3145159,1,0.526251365,0.537960106,209.8474105,203.8357182,47,16.62011911,15.23154621,130.7474501,115.5755484,-57.97858814,609.5706345,0.799668208,0.48739584,0.115567397,0.09604169,0.062716698,0.07738772,0.022666174,0.023468434,0.022090226,0.044638346,0.01254475,0.01041825,0.010437032,0.011489403,0.005907614,0.023614388,0.005282594,0.002740094,0.010830191,0.010581409,0.004789579,0.007761033,0.009712428,0.005302845,0.007078138,0.00603606,0.00608353,0.000367702,0.006729803,0.007607113,0.007394813
1,8,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,27273,35530,818,1222,631,1032,724.9278041,1126.35482,1.558195127,28677,0.28164103,186.3466182,1,0.767604841,0.641768147,190.725087,210.3544628,88.23264702,29.52714503,25.8069758,185.3078935,183.0045056,-36.65745686,730.7726907,0.951040904,0.784764901,0.058007357,0.15663941,0.016662355,0.021059948,0.005614016,0.075262645,0.011530175,0.010215781,0.010296002,0.006103276,0.006096159,0.013323245,0.003468382,0.00214012,0.006576229,0.019127725,0.007658868,0.005393824,0.001130944,0.010930136,0.005517172,0.001963728,0.001836753,0.003364949,0.0099048,0.001948884,0.003245684,0.003515967,0.002496404
1,9,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,17860,23408,1309,1295,1155,1143,1231.50084,1219.135722,1.187817636,18156,0.327639444,150.7980712,1,0.762987013,0.841880075,155.2851848,160.5241415,72.40165744,24.77932525,21.84032967,145.8861516,146.7138826,-48.90245975,516.3218972,0.98369685,0.872426462,0.03783144,0.105367719,0.023196584,0.024670677,0.011172515,0.069504345,0.013742447,0.007206906,0.009411373,0.001564467,0.004956451,0.032737704,0.004303461,0.000590892,0.003592015,0.004437962,0.006395737,0.002092062,0.005618905,0.005904137,0.002336283,0.002779909,0.002369047,0.001033382,0.008970151,0.007232698,0.000425625,0.001527618,0.003743955
1,10,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,22302,28658,1161,1328,983,1167,1067.714779,1246.42198,1.176389957,22624,0.428016685,168.5104992,1,0.778212018,0.85005826,177.6019245,178.7092611,78.16009212,27.57634026,24.33105012,159.5717533,160.5114391,-86.18564065,574.1858582,0.985767327,0.866192578,0.024980824,0.107675398,0.038851049,0.015028968,0.024979033,0.067166565,0.016414042,0.005538131,0.003730876,0.00683834,0.007689131,0.028760832,0.003116272,0.001708412,0.002860116,0.004522944,0.005788586,0.007120904,0.002379361,0.004466039,0.01197405,0.001072949,0.00152293,0.002502456,0.007234229,0.008315693,0.003767551,0.000567077,0.002679778
1,11,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,35286,55670,1815,1726,1625,1433,1715.928527,1576.72312,1.502881317,37097,0.784783476,211.9611535,1,0.633842285,0.665388536,271.4831769,293.8588096,85.70297544,30.70259085,27.29468813,180.0402554,168.2571381,-7.80222492,816.3351365,0.951182036,0.520277588,0.008203994,0.212702499,0.068501504,0.002058979,0.005537151,0.012176222,0.029735032,0.030079883,0.001782666,0.001334559,0.006029694,0.033703573,0.016777401,0.013644931,0.016576064,0.001642613,0.003437459,0.003462466,0.004535459,0.015436288,0.013608187,0.009837923,0.007864599,0.009696988,0.000505283,0.001538401,0.001583406,0.00306118,0.003804718
1,12,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,44387,76076,1126,1698,840,1432,983.0810147,1563.688873,1.948796574,50774,0.86087669,237.7294338,1,0.583456018,0.513137191,345.6729608,321.8105032,81.60882305,29.3868145,27.16615541,186.7134475,175.883119,55.95108039,1042.596067,0.874207271,0.545689898,0.025724543,0.146986389,0.115595545,0.017701531,0.014087453,0.004113251,0.057440284,0.019744425,0.005648612,0.00716291,0.004617498,0.012845015,0.005688877,0.013046746,0.004998206,0.003496593,0.010592785,0.005801367,0.00236546,0.001097741,0.001988782,0.022788566,0.013048863,0.003313169,0.001640368,0.004282303,0.007382117,0.005258749,0.001327731
