ImageNumber,ObjectNumber,Metadata_Cell,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_batch,Metadata_channel,Metadata_hour,Metadata_label,Metadata_time,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Granularity_10_BF,Granularity_11_BF,Granularity_12_BF,Granularity_13_BF,Granularity_14_BF,Granularity_15_BF,Granularity_16_BF,Granularity_1_BF,Granularity_2_BF,Granularity_3_BF,Granularity_4_BF,Granularity_5_BF,Granularity_6_BF,Granularity_7_BF,Granularity_8_BF,Granularity_9_BF,Texture_AngularSecondMoment_BF_3_00_256,Texture_AngularSecondMoment_BF_3_01_256,Texture_AngularSecondMoment_BF_3_02_256,Texture_AngularSecondMoment_BF_3_03_256,Texture_Contrast_BF_3_00_256,Texture_Contrast_BF_3_01_256,Texture_Contrast_BF_3_02_256,Texture_Contrast_BF_3_03_256,Texture_Correlation_BF_3_00_256,Texture_Correlation_BF_3_01_256,Texture_Correlation_BF_3_02_256,Texture_Correlation_BF_3_03_256,Texture_DifferenceEntropy_BF_3_00_256,Texture_DifferenceEntropy_BF_3_01_256,Texture_DifferenceEntropy_BF_3_02_256,Texture_DifferenceEntropy_BF_3_03_256,Texture_DifferenceVariance_BF_3_00_256,Texture_DifferenceVariance_BF_3_01_256,Texture_DifferenceVariance_BF_3_02_256,Texture_DifferenceVariance_BF_3_03_256,Texture_Entropy_BF_3_00_256,Texture_Entropy_BF_3_01_256,Texture_Entropy_BF_3_02_256,Texture_Entropy_BF_3_03_256,Texture_InfoMeas1_BF_3_00_256,Texture_InfoMeas1_BF_3_01_256,Texture_InfoMeas1_BF_3_02_256,Texture_InfoMeas1_BF_3_03_256,Texture_InfoMeas2_BF_3_00_256,Texture_InfoMeas2_BF_3_01_256,Texture_InfoMeas2_BF_3_02_256,Texture_InfoMeas2_BF_3_03_256,Texture_InverseDifferenceMoment_BF_3_00_256,Texture_InverseDifferenceMoment_BF_3_01_256,Texture_InverseDifferenceMoment_BF_3_02_256,Texture_InverseDifferenceMoment_BF_3_03_256,Texture_SumAverage_BF_3_00_256,Texture_SumAverage_BF_3_01_256,Texture_SumAverage_BF_3_02_256,Texture_SumAverage_BF_3_03_256,Texture_SumEntropy_BF_3_00_256,Texture_SumEntropy_BF_3_01_256,Texture_SumEntropy_BF_3_02_256,Texture_SumEntropy_BF_3_03_256,Texture_SumVariance_BF_3_00_256,Texture_SumVariance_BF_3_01_256,Texture_SumVariance_BF_3_02_256,Texture_SumVariance_BF_3_03_256,Texture_Variance_BF_3_00_256,Texture_Variance_BF_3_01_256,Texture_Variance_BF_3_02_256,Texture_Variance_BF_3_03_256
1,1,Mcf7,nan,0,0,0,nan,1,0,20240515,65718,107535,1323,1258,1002,923,1171.890456,1081.164521,10.60593614,80612,0.268076774,289.2658922,1,0.61113126,0.094286821,305.134954,337.7365837,113.9517442,35.02644267,29.12043956,316.6310261,293.9662678,62.83288732,2959.52222,0.815238426,0.632672102,0.044803536,0.196943936,0.010944349,0.004644081,0.048845355,0.034075246,0.016298751,0.00278199,0.014028568,0.024349265,0.005871239,0.017095337,0.009228514,0.010603941,0.009891098,0.00134423,0.01152197,0.007670577,0.004927057,0.006192758,0.010816417,0.008466315,0.002966586,0.003738087,0.006383758,0.002394072,0.003792247,0.004735086,0.002588074,2.57369806,0,1.550420118,3.700722732,2.285218781,0,0.22152543,67.74628257,2.851083244,0.952276307,1.158763786,1.570348621,0,0.439266847,0,0,0.156659346,0.146443846,0.157728705,0.149899005,0.736495347,1.098841761,0.754805416,0.9229802,0.393021909,0.096816354,0.378220152,0.239936,1.309167485,1.506791693,1.323548466,1.425722634,0.031987813,0.028149873,0.031928158,0.029584396,3.189794447,3.299568255,3.194440941,3.263957545,-0.0758347,-0.010941162,-0.073570551,-0.031761267,0.471500417,0.188808787,0.465302239,0.316198992,0.725670542,0.667983255,0.728425818,0.695617133,7.168265053,7.156897516,7.169128555,7.164019227,2.38316664,2.230296589,2.379752199,2.311509168,1.690265546,1.334421431,1.673080978,1.505710541,0.606690223,0.608315798,0.606971599,0.607172685
1,2,Mcf7,nan,0,0,0,nan,1,0,20240515,47715,91872,1246,1498,985,1146,1098.118831,1313.97418,13.99051909,65145,0.712312217,246.4804757,1,0.519363898,0.071476976,306.1087565,354.2668486,88.45903006,29.30612936,24.33105012,258.1233046,214.8463306,7.023207148,2896.338454,0.732443012,0.483495151,0.055333854,0.201750688,0.040069613,0.036709152,0.006383263,0.013057125,0.032561998,0.022017192,0.00330254,0.007175038,0.011160115,0.022547661,0.002280841,0.010680295,0.007858123,0.019033671,0.003138124,0.008087551,0.002075352,0.000752919,0.00963908,0.003598807,0.003790948,0.006606558,0.007144261,0.008926637,0.005499289,0.002483346,0.004198823,2.259889301,0,1.446995349,3.528379317,2.20858113,0,0.215078889,68.40433269,4.42337131,0.337635961,0.686419669,1.137961671,0,0.354722076,0,0,0.13208851,0.122287521,0.132972845,0.126088378,0.982230081,1.490657362,0.971388803,1.184623325,0.469659036,0.188000039,0.475714327,0.364389812,1.452175393,1.666166168,1.44739791,1.553913024,0.026046525,0.022504604,0.026109645,0.024225825,3.575950541,3.70006147,3.571854635,3.650899154,-0.097134588,-0.023304822,-0.099305171,-0.059270267,0.553044725,0.289047203,0.558119256,0.447083699,0.702117636,0.644442179,0.704810321,0.676209626,6.987622942,6.959500225,6.983407715,6.973541886,2.650783894,2.50808111,2.650253803,2.607932876,2.721915545,2.180912672,2.734181857,2.542891898,0.926036406,0.917892508,0.926392665,0.931878806
2,1,Mcf7,nan,0,0,10,nan,1,0,20240515,54863,83520,814,937,574,589,704.1245284,753.7217615,9.160470491,63734,0.755285702,264.2985833,1,0.656884579,0.109164699,334.6929854,349.0744906,93.49331527,30.71672066,26.41968963,235.3719535,219.3563397,3.677701093,2513.064284,0.860812125,0.572032829,0.069431505,0.180116672,0.070661207,0.025210182,0.025215232,0.00571634,0.034536552,0.019879838,0.015861944,0.015169814,0.006066723,0.00238229,0.015653926,0.016584628,0.009403681,0.010564163,0.013917328,0.003171823,0.001204163,0.008661306,0.006163861,0.00339084,0.000418273,0.001481227,0.004801814,0.003477313,0.004322374,0.003959047,0.003380892,0,0,1.29634134,0.177934409,4.584868661,0,0.409305505,63.29124676,3.896193701,1.05542084,0.404602826,0.053177852,1.549389887,0.79134591,1.19769234,0,0.230730155,0.203093959,0.230661753,0.213898884,0.399485365,0.569240733,0.400731482,0.487102797,0.536957302,0.342616045,0.537003631,0.436928185,1.011725097,1.171780761,1.015350998,1.101978017,0.054653429,0.047272443,0.054674294,0.050230701,2.628806029,2.78496712,2.634105636,2.724947484,-0.171890148,-0.066714581,-0.171120948,-0.107481279,0.624527513,0.418169841,0.623829533,0.515942585,0.810269994,0.755906892,0.810719605,0.780772308,6.105765046,6.103470608,6.110928869,6.103501486,2.19376778,2.140638126,2.194005901,2.17604099,1.325994237,1.162595673,1.330303613,1.243059446,0.4313699,0.432959102,0.432758774,0.432540561
2,2,Mcf7,nan,0,0,10,nan,1,0,20240515,24396,58986,649,946,423,685,527.6164125,788.4718806,10.56478941,41084,0.606263825,176.2440125,-1,0.413589665,0.09465404,236.0233032,283.2137002,51.00980298,15.61239801,12.16552506,204.1671276,187.7007389,60.38673989,1799.677416,0.593807808,0.385214785,0.102863936,0.113060371,0.044275103,0.068822657,0.015717628,0.016609887,0.024448816,0.007596268,0.022962597,0.016488943,0.002634975,0.006769148,0.022205137,0.011762689,0.009368204,0.012691792,0.0041505,0.002148433,0.001117051,0.005616378,0.004924129,0.01680217,0.012759217,0.006124733,0.010270065,0.008272087,0.006645615,0.00421421,0.001405871,0,0,1.184059993,0.162779835,4.381828321,0,0.397305028,63.76312494,4.463595421,1.831317453,0.018028239,0.1374088,1.195557153,0.716797522,1.066995791,0,0.200962402,0.179588662,0.205206018,0.187290462,0.434533444,0.604932795,0.420257123,0.540546516,0.565083572,0.395269745,0.578905073,0.456849475,1.045375908,1.200380636,1.035644564,1.14962903,0.052580373,0.046106025,0.053491606,0.048167527,2.801345938,2.956637934,2.785063954,2.903706475,-0.180288505,-0.080078706,-0.189958843,-0.110052146,0.65267032,0.467522478,0.665322714,0.535652784,0.796224682,0.746134055,0.803266157,0.764587018,6.286495472,6.285454465,6.294996525,6.278873364,2.32355705,2.271403229,2.319539638,2.290887384,1.563705374,1.395737059,1.575763707,1.449864949,0.499559705,0.500167464,0.499005208,0.497602866
2,3,Mcf7,nan,0,0,10,nan,1,0,20240515,20485,34726,623,995,429,816,532.6931901,902.1818404,10.44235314,26053,0.610766784,161.5001922,1,0.589903818,0.095763856,189.9616847,199.4617758,58.05170109,17.65747168,13.92838828,158.88819,150.4136646,-63.41097779,1639.540331,0.78628181,0.630710327,0.036754577,0.178778805,0.053233599,0.007036373,0.024284153,0.027006634,0.016037495,0.003675955,0.01494659,0.015324481,0.008283352,0.002213363,0.019106292,0.007972864,0.001435698,0.005743841,0.00512929,0.005317614,0.011229204,0.004274437,0.004168746,0.008563797,0.004786676,0.001797363,0.011994807,0.002674523,0.006992978,0.010321605,0.002312697,0,0,1.299819581,0.177554683,4.622671941,0,0.412580863,63.83386708,4.269472739,0.359254482,0,0.467817263,1.4787254,0.837501939,1.223130616,0,0.236584709,0.210588427,0.232506911,0.219750625,0.445168692,0.621778488,0.454326546,0.563237953,0.527816771,0.331446002,0.515674409,0.397286275,1.074025763,1.224040118,1.075902694,1.17874719,0.048489936,0.042327356,0.047821645,0.044048696,2.70949249,2.84483208,2.717667828,2.801603413,-0.157821084,-0.056800929,-0.148535216,-0.086297532,0.609420309,0.391431208,0.594489054,0.472524045,0.801945038,0.74924231,0.795325342,0.765763968,6.32377327,6.312832801,6.318222269,6.304116583,2.21987484,2.159512869,2.221682826,2.185744492,1.440407351,1.238291123,1.421793793,1.305768608,0.471394011,0.465017403,0.469030085,0.46725164
2,4,Mcf7,nan,0,0,10,nan,1,0,20240515,20017,42008,465,1161,287,925,375.4204426,1041.731878,25.30409503,31068,0.714878912,159.6447179,1,0.476504475,0.039519295,206.8084536,237.9180531,49.76946855,13.64276925,9.848857802,170.0065551,144.6104531,-14.38300384,2522.898808,0.644296382,0.449654143,0.036997758,0.190983388,0.041079936,0.015174603,0.022202269,0.027384573,0.022980535,0.020528921,0.009326259,0.02077589,0.00212823,0.005673322,0.006358289,0.017578047,0.008766939,0.003909285,0.003455493,0.003393788,0.003756018,0.01347267,0.002521541,0.005321748,0.004561175,0.001175895,0.002838857,0.005414432,0.007495661,0.004020872,0.001574773,0,0,1.509169031,0.204447471,5.058663178,0,0.431235423,53.99646329,5.58827208,1.97447595,0.401959483,4.714255776,2.572158955,1.05163082,1.474627646,0,0.123927117,0.110247921,0.121269575,0.112462923,0.717809735,1.064889193,0.739940305,0.961429542,0.607497194,0.418850459,0.595135234,0.476320757,1.293941253,1.500570633,1.309723565,1.44580005,0.037266486,0.03164766,0.036476279,0.032886358,3.572143931,3.756058667,3.598619165,3.728239419,-0.182591622,-0.08744017,-0.169016771,-0.104476745,0.715655404,0.53914575,0.696708982,0.580518802,0.728420744,0.670033941,0.720352512,0.681678949,6.279314159,6.245314191,6.279294716,6.253681468,2.795630009,2.719308863,2.793825118,2.745487192,2.939793335,2.599879057,2.915306423,2.710396506,0.914400767,0.916192062,0.913811682,0.917956512
2,5,Mcf7,nan,0,0,10,nan,1,0,20240515,14320,25821,1342,1250,1191,1079,1269.809288,1162.382542,13.19916179,19586,0.528642934,135.0288498,1,0.554587351,0.075762387,153.4667775,174.4505661,50.009999,14.28341546,10.77032961,137.9100062,130.2693996,12.31014807,1541.166702,0.731134484,0.599028958,0.02069164,0.198845383,0.032236411,0.006870434,0.010964526,0.016880331,0.006501847,0.008697907,0.00745729,0.014195668,0.005685489,0.018804786,0.010933668,0.008889234,0.002439536,0.008962515,0.003481625,0.007433055,0.010965177,0.0088934,0.005154362,0.005636131,0.008603513,0.003333429,0.005849541,0.00518715,0.005685281,0.01233001,0.002013827,0,0,1.039130247,0.143314362,4.025216834,0,0.372528571,65.43827788,5.176494759,1.098428909,1.087479162,0,0.120708625,0.697967005,0.989741785,0,0.149983343,0.133138857,0.152649986,0.14169699,0.649133522,0.978204422,0.630708241,0.763383131,0.491676355,0.237725332,0.5036334,0.404940896,1.242090911,1.45145826,1.233535057,1.319004432,0.041484181,0.035106629,0.041951286,0.039213867,3.209273344,3.370473237,3.187011968,3.279976162,-0.120498716,-0.030219889,-0.130019968,-0.082221613,0.580817233,0.313448571,0.598341626,0.495134636,0.739447106,0.677142895,0.74694671,0.714403343,6.253072754,6.236997403,6.247541359,6.241752256,2.485401225,2.369208954,2.487256568,2.458482546,1.904883107,1.588336126,1.910591843,1.802355722,0.638504157,0.641635137,0.635325021,0.641434713
2,6,Mcf7,nan,0,0,10,nan,1,0,20240515,22537,41748,811,1329,598,1133,711.9639704,1224.150197,14.18524945,31623,0.589063433,169.3959847,1,0.539834244,0.070495764,197.6794676,230.4886114,61.81423784,17.98691475,14.2126704,180.7862474,159.7421678,54.33993722,2004.340367,0.712677482,0.538893468,0.006571064,0.21188947,0.034360296,0.013174449,0.030224226,0.001838807,0.009663585,0.014910681,0.005537299,0.02846384,0.005842361,0.029701929,0.00610049,0.011004195,0.002983834,0.009026963,0.002651805,0.001761918,0.000386681,0.003016905,0.003246178,0.003267549,0.004583909,0.003261399,0.005338136,0.011153353,0.003972388,0.000863571,0.003085116,0,0,1.395102977,0.189690967,4.772335583,0,0.414767732,55.77377113,5.942568929,2.098354403,0.141640698,4.088327561,2.328457785,0.957894443,1.346198186,0,0.11414592,0.098394879,0.111705847,0.102380971,0.792915531,1.248722068,0.823049781,1.09557505,0.602754805,0.377789459,0.587818526,0.452117654,1.354236523,1.588402358,1.371512554,1.528040568,0.033151151,0.027870442,0.032703943,0.028960935,3.688185779,3.898832003,3.704739734,3.847343497,-0.171705446,-0.07005335,-0.163844049,-0.09352182,0.706968659,0.496498241,0.695521116,0.560713875,0.718376375,0.651282004,0.71120656,0.67256554,6.36058129,6.340392386,6.361958802,6.360151214,2.847884056,2.761377323,2.848557968,2.793407625,3.199155568,2.765102791,3.170578425,2.903732677,0.998017775,1.003456215,0.998407051,0.999826932
2,7,Mcf7,nan,0,0,10,nan,1,0,20240515,20154,40885,1433,1448,1248,1227,1340.099931,1333.615511,11.00707248,26672,0.68665028,160.1901051,1,0.492943622,0.090850678,195.0119673,220.9072203,58.21511831,18.22255386,14.76482306,161.1749903,141.7713387,15.62416992,1669.634739,0.755623875,0.525837496,0.050710684,0.202877407,0.043439488,0.02737996,0.008236788,0.000314842,0.030882491,0.00822629,0.013256911,0.009877874,0.004502975,0.016912894,0.002206592,0.010108975,0.007576419,0.012692513,0.004005334,0.004666315,0.005076107,0.004177895,0.01147762,0.013054962,0.006688756,0.003681006,0.001385596,0.013809761,0.007313169,0.003584331,0.002571968,0,0,1.259845965,0.172720236,4.422544658,0,0.388291856,62.27783196,4.347451155,3.028147412,1.451650365,0,0.1431548,0.838000594,1.199833464,0,0.147603686,0.130357824,0.151960166,0.137349077,0.59785095,0.890166235,0.575599198,0.737871421,0.566656947,0.354259069,0.579673666,0.463136161,1.204238607,1.402992884,1.192119939,1.307396066,0.04278168,0.036481883,0.04347253,0.03940059,3.244385967,3.419539238,3.217567928,3.345587207,-0.163074787,-0.062491028,-0.17351811,-0.102677374,0.661727986,0.444914292,0.676298789,0.551172885,0.752779403,0.691746355,0.762042955,0.720514189,6.200914942,6.176867444,6.189367543,6.191572123,2.572272996,2.485364146,2.570792023,2.535063342,2.161399237,1.866872052,2.16322134,2.010950041,0.689812547,0.689259572,0.684705134,0.687205365
3,1,Mcf7,nan,0,0,1,nan,1,0,20240515,22852,36051,859,645,662,462,758.2062402,554.676571,8.97473359,28092,0.535151667,170.5757019,1,0.633879781,0.11142392,191.3319792,209.411079,67.06713055,19.96554019,16.2788206,174.9499586,161.6288367,61.05121569,1605.379905,0.813470027,0.648789115,0.065428527,0.181835187,0.044182787,0.007507597,0.029287642,0.028263892,0.007697753,0.005124903,0.017382777,0.024318234,0.007285975,0.008108896,0.014612161,0.015271513,0.004806579,0.00907786,0.004893144,0.005169338,0.00277225,0.005795224,0.001412708,0.006831695,0.008793888,0.002041038,0.002838833,0.006767333,0.00089174,0.001650292,0.002998834,0.506966182,1.908088514,1.01748721,0.882891289,0.769611604,1.752100678,0.813301577,66.50202296,5.14373885,2.347489299,0.080649426,0,0,0.921374411,0.247287576,0.450661453,0.152691968,0.134592088,0.155282456,0.136401353,0.487064791,0.674387048,0.450669518,0.613909668,0.676051812,0.551393267,0.701814298,0.59442044,1.109253042,1.264961998,1.067533885,1.207129104,0.050380761,0.044129061,0.051929806,0.045850072,3.217379093,3.394591171,3.181228824,3.351280538,-0.247428166,-0.150589788,-0.270540451,-0.179015985,0.772564032,0.651668601,0.793965537,0.694683577,0.7841365,0.735792571,0.793021201,0.743722185,6.001383445,5.992279618,6.006183746,5.988211344,2.668255379,2.639470587,2.679676863,2.663075482,2.519988863,2.332197555,2.572074464,2.413410881,0.751763414,0.751646151,0.755685995,0.756830137
