ImageNumber,ObjectNumber,Metadata_Cell,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_batch,Metadata_channel,Metadata_hour,Metadata_hour,Metadata_label,Metadata_label,Metadata_time,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,,,,,,,,,,,,,,,,
1,1,Mcf7,nan,0,0,0,nan,1,1,0,0,20240515,65718,107535,1323,1258,1002,923,1171.890456,1081.164521,10.60593614,80612,0.268076774,289.2658922,1,0.61113126,0.094286821,305.134954,337.7365837,113.9517442,35.02644267,29.12043956,316.6310261,293.9662678,62.83288732,2959.52222,0.815238426,0.632672102,0.044803536,0.196943936,0.010944349,0.004644081,0.048845355,0.034075246,0.016298751,0.00278199,0.014028568,0.024349265,0.005871239,0.017095337,0.009228514,0.010603941,0.009891098,0.00134423,0.01152197,0.007670577,0.004927057,0.006192758,0.010816417,0.008466315,0.002966586,0.003738087,0.006383758,0.002394072,0.003792247,0.004735086,0.002588074,,,,,,,,,,,,,,,,
1,2,Mcf7,nan,0,0,0,nan,1,1,0,0,20240515,47715,91872,1246,1498,985,1146,1098.118831,1313.97418,13.99051909,65145,0.712312217,246.4804757,1,0.519363898,0.071476976,306.1087565,354.2668486,88.45903006,29.30612936,24.33105012,258.1233046,214.8463306,7.023207148,2896.338454,0.732443012,0.483495151,0.055333854,0.201750688,0.040069613,0.036709152,0.006383263,0.013057125,0.032561998,0.022017192,0.00330254,0.007175038,0.011160115,0.022547661,0.002280841,0.010680295,0.007858123,0.019033671,0.003138124,0.008087551,0.002075352,0.000752919,0.00963908,0.003598807,0.003790948,0.006606558,0.007144261,0.008926637,0.005499289,0.002483346,0.004198823,,,,,,,,,,,,,,,,
2,1,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,54863,83520,814,937,574,589,704.1245284,753.7217615,9.160470491,63734,0.755285702,264.2985833,1,0.656884579,0.109164699,334.6929854,349.0744906,93.49331527,30.71672066,26.41968963,235.3719535,219.3563397,3.677701093,2513.064284,0.860812125,0.572032829,0.069431505,0.180116672,0.070661207,0.025210182,0.025215232,0.00571634,0.034536552,0.019879838,0.015861944,0.015169814,0.006066723,0.00238229,0.015653926,0.016584628,0.009403681,0.010564163,0.013917328,0.003171823,0.001204163,0.008661306,0.006163861,0.00339084,0.000418273,0.001481227,0.004801814,0.003477313,0.004322374,0.003959047,0.003380892,,,,,,,,,,,,,,,,
2,2,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,24396,58986,649,946,423,685,527.6164125,788.4718806,10.56478941,41084,0.606263825,176.2440125,-1,0.413589665,0.09465404,236.0233032,283.2137002,51.00980298,15.61239801,12.16552506,204.1671276,187.7007389,60.38673989,1799.677416,0.593807808,0.385214785,0.102863936,0.113060371,0.044275103,0.068822657,0.015717628,0.016609887,0.024448816,0.007596268,0.022962597,0.016488943,0.002634975,0.006769148,0.022205137,0.011762689,0.009368204,0.012691792,0.0041505,0.002148433,0.001117051,0.005616378,0.004924129,0.01680217,0.012759217,0.006124733,0.010270065,0.008272087,0.006645615,0.00421421,0.001405871,,,,,,,,,,,,,,,,
2,3,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,20485,34726,623,995,429,816,532.6931901,902.1818404,10.44235314,26053,0.610766784,161.5001922,1,0.589903818,0.095763856,189.9616847,199.4617758,58.05170109,17.65747168,13.92838828,158.88819,150.4136646,-63.41097779,1639.540331,0.78628181,0.630710327,0.036754577,0.178778805,0.053233599,0.007036373,0.024284153,0.027006634,0.016037495,0.003675955,0.01494659,0.015324481,0.008283352,0.002213363,0.019106292,0.007972864,0.001435698,0.005743841,0.00512929,0.005317614,0.011229204,0.004274437,0.004168746,0.008563797,0.004786676,0.001797363,0.011994807,0.002674523,0.006992978,0.010321605,0.002312697,,,,,,,,,,,,,,,,
2,4,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,20017,42008,465,1161,287,925,375.4204426,1041.731878,25.30409503,31068,0.714878912,159.6447179,1,0.476504475,0.039519295,206.8084536,237.9180531,49.76946855,13.64276925,9.848857802,170.0065551,144.6104531,-14.38300384,2522.898808,0.644296382,0.449654143,0.036997758,0.190983388,0.041079936,0.015174603,0.022202269,0.027384573,0.022980535,0.020528921,0.009326259,0.02077589,0.00212823,0.005673322,0.006358289,0.017578047,0.008766939,0.003909285,0.003455493,0.003393788,0.003756018,0.01347267,0.002521541,0.005321748,0.004561175,0.001175895,0.002838857,0.005414432,0.007495661,0.004020872,0.001574773,,,,,,,,,,,,,,,,
2,5,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,14320,25821,1342,1250,1191,1079,1269.809288,1162.382542,13.19916179,19586,0.528642934,135.0288498,1,0.554587351,0.075762387,153.4667775,174.4505661,50.009999,14.28341546,10.77032961,137.9100062,130.2693996,12.31014807,1541.166702,0.731134484,0.599028958,0.02069164,0.198845383,0.032236411,0.006870434,0.010964526,0.016880331,0.006501847,0.008697907,0.00745729,0.014195668,0.005685489,0.018804786,0.010933668,0.008889234,0.002439536,0.008962515,0.003481625,0.007433055,0.010965177,0.0088934,0.005154362,0.005636131,0.008603513,0.003333429,0.005849541,0.00518715,0.005685281,0.01233001,0.002013827,,,,,,,,,,,,,,,,
2,6,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,22537,41748,811,1329,598,1133,711.9639704,1224.150197,14.18524945,31623,0.589063433,169.3959847,1,0.539834244,0.070495764,197.6794676,230.4886114,61.81423784,17.98691475,14.2126704,180.7862474,159.7421678,54.33993722,2004.340367,0.712677482,0.538893468,0.006571064,0.21188947,0.034360296,0.013174449,0.030224226,0.001838807,0.009663585,0.014910681,0.005537299,0.02846384,0.005842361,0.029701929,0.00610049,0.011004195,0.002983834,0.009026963,0.002651805,0.001761918,0.000386681,0.003016905,0.003246178,0.003267549,0.004583909,0.003261399,0.005338136,0.011153353,0.003972388,0.000863571,0.003085116,,,,,,,,,,,,,,,,
2,7,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,20154,40885,1433,1448,1248,1227,1340.099931,1333.615511,11.00707248,26672,0.68665028,160.1901051,1,0.492943622,0.090850678,195.0119673,220.9072203,58.21511831,18.22255386,14.76482306,161.1749903,141.7713387,15.62416992,1669.634739,0.755623875,0.525837496,0.050710684,0.202877407,0.043439488,0.02737996,0.008236788,0.000314842,0.030882491,0.00822629,0.013256911,0.009877874,0.004502975,0.016912894,0.002206592,0.010108975,0.007576419,0.012692513,0.004005334,0.004666315,0.005076107,0.004177895,0.01147762,0.013054962,0.006688756,0.003681006,0.001385596,0.013809761,0.007313169,0.003584331,0.002571968,,,,,,,,,,,,,,,,
3,1,Mcf7,nan,0,0,1,nan,1,1,0,0,20240515,22852,36051,859,645,662,462,758.2062402,554.676571,8.97473359,28092,0.535151667,170.5757019,1,0.633879781,0.11142392,191.3319792,209.411079,67.06713055,19.96554019,16.2788206,174.9499586,161.6288367,61.05121569,1605.379905,0.813470027,0.648789115,0.065428527,0.181835187,0.044182787,0.007507597,0.029287642,0.028263892,0.007697753,0.005124903,0.017382777,0.024318234,0.007285975,0.008108896,0.014612161,0.015271513,0.004806579,0.00907786,0.004893144,0.005169338,0.00277225,0.005795224,0.001412708,0.006831695,0.008793888,0.002041038,0.002838833,0.006767333,0.00089174,0.001650292,0.002998834,,,,,,,,,,,,,,,,
