loaded_B_feature,loaded_A_feature,common_indices
AreaShape_BoundingBoxArea,AreaShape_Compactness,AreaShape_Compactness
AreaShape_BoundingBoxMaximum_Y,AreaShape_FormFactor,AreaShape_FormFactor
AreaShape_Compactness,AreaShape_Solidity,Correlation_Manders_DA_AA
AreaShape_ConvexArea,AreaShape_Zernike_0_0,Correlation_Overlap_AA_DA
AreaShape_Extent,AreaShape_Zernike_2_0,Correlation_Overlap_AA_DD
AreaShape_FormFactor,Correlation_K_AA_DA,Correlation_RWC_DA_AA
AreaShape_MajorAxisLength,Correlation_K_DA_AA,Correlation_RWC_DD_AA
AreaShape_MaxFeretDiameter,Correlation_K_DA_DD,Granularity_11_AA
AreaShape_MinFeretDiameter,Correlation_K_DD_DA,Granularity_8_AA
AreaShape_Perimeter,Correlation_Manders_DA_AA,Granularity_9_AA
AreaShape_Zernike_6_6,Correlation_Manders_DD_AA,Intensity_IntegratedIntensityEdge_ED
Correlation_Correlation_AA_DA,Correlation_Overlap_AA_DA,Intensity_IntegratedIntensity_ED
Correlation_Manders_DA_AA,Correlation_Overlap_AA_DD,Intensity_MADIntensity_ED
Correlation_Overlap_AA_DA,Correlation_RWC_DA_AA,Intensity_MeanIntensityEdge_DD
Correlation_Overlap_AA_DD,Correlation_RWC_DD_AA,Intensity_MeanIntensityEdge_ED
Correlation_RWC_DA_AA,Granularity_11_AA,Intensity_MinIntensity_DD
Correlation_RWC_DD_AA,Granularity_1_AA,Neighbors_FirstClosestDistance_5
Correlation_RWC_DD_DA,Granularity_1_DD,RadialDistribution_FracAtD_AA_2of4
Granularity_10_AA,Granularity_2_AA,RadialDistribution_FracAtD_AA_4of4
Granularity_10_DA,Granularity_3_AA,RadialDistribution_FracAtD_DD_4of4
Granularity_10_DD,Granularity_7_AA,Texture_InverseDifferenceMoment_DD_3_02_256
Granularity_11_AA,Granularity_8_AA,
Granularity_11_DA,Granularity_9_AA,
Granularity_11_DD,Intensity_IntegratedIntensityEdge_ED,
Granularity_12_DA,Intensity_IntegratedIntensity_ED,
Granularity_12_DD,Intensity_LowerQuartileIntensity_ED,
Granularity_13_AA,Intensity_MADIntensity_DD,
Granularity_13_DA,Intensity_MADIntensity_ED,
Granularity_13_DD,Intensity_MassDisplacement_ED,
Granularity_14_DA,Intensity_MaxIntensityEdge_ED,
Granularity_8_AA,Intensity_MaxIntensity_AA,
