ImageNumber,ObjectNumber,Metadata_Cell,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_batch,Metadata_channel,Metadata_hour,Metadata_hour,Metadata_label,Metadata_label,Metadata_time,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Granularity_10_BF,Granularity_11_BF,Granularity_12_BF,Granularity_13_BF,Granularity_14_BF,Granularity_15_BF,Granularity_16_BF,Granularity_1_BF,Granularity_2_BF,Granularity_3_BF,Granularity_4_BF,Granularity_5_BF,Granularity_6_BF,Granularity_7_BF,Granularity_8_BF,Granularity_9_BF,Texture_AngularSecondMoment_BF_3_00_256,Texture_AngularSecondMoment_BF_3_01_256,Texture_AngularSecondMoment_BF_3_02_256,Texture_AngularSecondMoment_BF_3_03_256,Texture_Contrast_BF_3_00_256,Texture_Contrast_BF_3_01_256,Texture_Contrast_BF_3_02_256,Texture_Contrast_BF_3_03_256,Texture_Correlation_BF_3_00_256,Texture_Correlation_BF_3_01_256,Texture_Correlation_BF_3_02_256,Texture_Correlation_BF_3_03_256,Texture_DifferenceEntropy_BF_3_00_256,Texture_DifferenceEntropy_BF_3_01_256,Texture_DifferenceEntropy_BF_3_02_256,Texture_DifferenceEntropy_BF_3_03_256,Texture_DifferenceVariance_BF_3_00_256,Texture_DifferenceVariance_BF_3_01_256,Texture_DifferenceVariance_BF_3_02_256,Texture_DifferenceVariance_BF_3_03_256,Texture_Entropy_BF_3_00_256,Texture_Entropy_BF_3_01_256,Texture_Entropy_BF_3_02_256,Texture_Entropy_BF_3_03_256,Texture_InfoMeas1_BF_3_00_256,Texture_InfoMeas1_BF_3_01_256,Texture_InfoMeas1_BF_3_02_256,Texture_InfoMeas1_BF_3_03_256,Texture_InfoMeas2_BF_3_00_256,Texture_InfoMeas2_BF_3_01_256,Texture_InfoMeas2_BF_3_02_256,Texture_InfoMeas2_BF_3_03_256,Texture_InverseDifferenceMoment_BF_3_00_256,Texture_InverseDifferenceMoment_BF_3_01_256,Texture_InverseDifferenceMoment_BF_3_02_256,Texture_InverseDifferenceMoment_BF_3_03_256,Texture_SumAverage_BF_3_00_256,Texture_SumAverage_BF_3_01_256,Texture_SumAverage_BF_3_02_256,Texture_SumAverage_BF_3_03_256,Texture_SumEntropy_BF_3_00_256,Texture_SumEntropy_BF_3_01_256,Texture_SumEntropy_BF_3_02_256,Texture_SumEntropy_BF_3_03_256,Texture_SumVariance_BF_3_00_256,Texture_SumVariance_BF_3_01_256,Texture_SumVariance_BF_3_02_256,Texture_SumVariance_BF_3_03_256,Texture_Variance_BF_3_00_256,Texture_Variance_BF_3_01_256,Texture_Variance_BF_3_02_256,Texture_Variance_BF_3_03_256
1,1,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,25537,34776,739,403,555,214,644.0115127,306.6398951,1.124907797,25715,0.544586913,180.3183802,1,0.734328272,0.888961746,197.2376422,195.1512234,80.60397013,29.37583383,26.07680962,161.3962606,165.4240811,-39.57502022,600.8254685,0.99307797,0.851906485,0.030116462,0.110211879,0.063700003,0.011329604,0.006280193,0.057987816,0.022314045,0.010515629,0.011098985,0.009344992,0.005688697,0.018179015,0.006329686,0.009127324,0.009252345,0.009257635,0.009749523,0.002513256,0.004194389,0.000999724,0.012776332,0.007601176,0.00487731,0.00233305,0.000832256,0.002997076,0.00199797,0.001441679,0.000980944,0,0,0,0,0,0,0,62.29747794,2.831001201,1.861808445,0.203482077,0.219679746,1.082740664,1.002328713,0.10603963,0,0.204662448,0.176496388,0.197888292,0.180618435,0.361633961,0.502932729,0.387792676,0.48587184,0.686096614,0.566248427,0.663055949,0.577217852,0.972474845,1.121524641,1.003444503,1.103193357,0.057464596,0.049712587,0.05561793,0.05031902,2.830792144,3.014582297,2.868890481,2.987103657,-0.28177425,-0.175393765,-0.257722611,-0.184783473,0.7777112,0.663217923,0.756339846,0.675015743,0.826631958,0.778338255,0.816621973,0.782180808,6.101722066,6.095667651,6.09361617,6.103727258,2.440454747,2.446600914,2.445391792,2.440202664,1.942476009,1.816057037,1.914029689,1.812578283,0.576027493,0.579747442,0.575455591,0.574612531
1,2,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,31116,42262,1319,494,1093,307,1209.351491,402.4446587,1.249156912,31705,0.764626621,199.0430146,1,0.736264256,0.80053994,249.105554,256.3298656,80.95677859,29.99944322,26.92582404,162.827644,160.5419356,60.72761884,698.884343,0.981422489,0.602969662,0.023225424,0.198188353,0.082346404,0.01545013,0.011311873,0.015334361,0.023769737,0.027929457,0.008127078,0.0074642,0.005197176,0.0254627,0.025404715,0.001986477,0.012175111,0.010723221,0.006633167,0.001986926,0.00348956,0.0026681,0.006837139,0.014736158,0.001170403,0.005992955,0.005089227,0.001283084,0.004428438,0.001178246,0.003273498,0,0,0,0,0,0,0,58.66117956,3.861444756,2.339891146,3.210957264,2.101845513,0.091582182,0.93315731,0.1083627,0,0.163599628,0.153029335,0.151686386,0.126252852,0.325380461,0.396094702,0.385719919,0.582850483,0.836567299,0.801033297,0.806941726,0.709553083,0.92959619,1.026939353,1.008201803,1.200878585,0.055409214,0.051429645,0.051453123,0.043190402,3.176641633,3.295306779,3.280726986,3.520496921,-0.423744633,-0.365002522,-0.373988711,-0.256845549,0.904855541,0.87771058,0.882555481,0.803520608,0.842886598,0.821907208,0.821019255,0.761122211,6.392668958,6.389838322,6.390254321,6.37952048,2.827904413,2.845627497,2.855922395,2.87466516,3.656447647,3.58542277,3.610171171,3.43062288,0.995457027,0.995379368,0.998972772,1.003368341
1,3,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,40145,52658,711,665,478,439,590.7808693,551.7374268,1.127181538,40447,0.31450592,226.0845008,1,0.762372289,0.88716854,232.5120698,234.2690761,106.1037228,37.17970509,32.89376841,218.8861631,220.7133637,-67.4053575,754.0803025,0.992533439,0.918189666,0.017804338,0.069910826,0.021925183,0.010635161,0.032059044,0.05037612,0.011952354,0.005503947,0.003830812,0.017055561,0.005760653,0.029608185,0.0028745,0.005785386,0.000796578,0.004906648,0.004994534,0.002656442,0.003521933,0.013156539,0.0032057,0.005332992,0.003660815,0.002804576,0.005647593,0.004747064,0.004636071,0.001579927,0.001989264,0,0,0,0,0,0,0,64.68933344,2.414413294,2.424311072,0.767573931,0.065130128,0.111630165,0.537029827,0.059710803,0,0.262298082,0.239778598,0.263539149,0.245475094,0.338231941,0.477840184,0.35785631,0.44517874,0.659777514,0.519097642,0.638237744,0.551444363,0.952750628,1.118096938,0.981967345,1.084323127,0.055048352,0.048441939,0.054620821,0.049719606,2.613584518,2.771052408,2.629751057,2.737331956,-0.27037535,-0.165753506,-0.255384714,-0.186763977,0.747191203,0.627666441,0.73276543,0.656513507,0.841343401,0.805234949,0.839476753,0.812703847,6.357843261,6.357595098,6.354307154,6.353525044,2.243993305,2.230333753,2.232195047,2.235516934,1.650066628,1.509424699,1.620549694,1.5397645,0.497074642,0.496816221,0.494601501,0.49623581
1,4,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,27087,40176,344,975,182,727,263.5370842,848.0346292,2.266531708,30682,0.795554525,185.7100954,1,0.674208483,0.44120274,253.1879163,248.2941804,53.03772242,20.30785815,18.35755975,161,153.4020011,-2.816534642,878.3473298,0.882830324,0.557969244,0.091536244,0.132401983,0.078003685,0.051253338,0.022592801,0.048496122,0.025374954,0.020699338,0.005708441,0.00633355,0.006082854,0.02410363,0.004650967,0.005966478,0.008271037,0.001839625,0.021308345,0.006056358,0.001637976,0.009621071,0.009897791,0.006490372,0.003297631,0.003545178,0.019600509,0.004654112,0.005282637,0.00743702,0.00385586,0,0,0,0,0,0,0,62.76439391,2.668835541,1.652175452,0.457113892,0.115969039,0,0,0,0,0.233183396,0.209908527,0.234688443,0.213020746,0.351293515,0.462626185,0.341555833,0.45264008,0.670022919,0.563964398,0.676576589,0.573487335,0.964360508,1.08949482,0.953496831,1.079473251,0.045852516,0.040976418,0.045998474,0.04148785,2.683493105,2.820827588,2.664879016,2.803306453,-0.271671899,-0.179254979,-0.276678127,-0.1909054,0.754884912,0.652820055,0.758293943,0.668267202,0.836596737,0.799391353,0.837588572,0.804003506,6.490771524,6.500770594,6.495320374,6.493943007,2.30951234,2.308448839,2.301910548,2.315256077,1.77790597,1.659339007,1.770572243,1.6698764,0.532299871,0.530491298,0.528032019,0.53062912
1,5,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,10088,14577,277,1096,164,967,221.2525773,1036.085646,1.225373636,10478,0.537958839,113.3333161,1,0.692049118,0.816077619,124.1473185,134.6291202,50.28916384,17.95455002,15.8113883,105.552856,104.6526026,-27.0591424,394.1320344,0.962779156,0.708658788,0.070573749,0.179192753,0.04584819,0.015920323,0.010473339,0.051561826,0.006085474,0.013906034,0.025070535,0.013065403,0.007940912,0.009079695,0.01094246,0.002382437,0.008951732,0.015851866,0.007639152,0.012953309,0.004372935,0.0081803,0.007191638,0.002678478,0.005746071,0.006016887,0.011569678,0.004540739,0.004041035,0.004197299,0.000670764,0,0,0,0,0,0,0,57.95333699,5.18606352,2.898729436,0.216243389,0.071855127,0,0,0,0,0.109493663,0.088972343,0.102042727,0.091074516,0.594577879,0.983567092,0.665093372,0.879102617,0.746533858,0.582844924,0.71592632,0.625548085,1.201017092,1.460829133,1.252309025,1.391444805,0.043021738,0.035055847,0.040998982,0.036820992,3.653874588,3.925105413,3.725563149,3.875776703,-0.289161863,-0.165179863,-0.254454778,-0.186044279,0.842143437,0.711855736,0.813938812,0.740559294,0.754526216,0.682263665,0.734188385,0.690913756,6.066591073,6.074628428,6.064026267,6.071042792,3.006015913,2.968156938,3.009916121,2.988775952,4.096998471,3.732027416,4.017447939,3.816307305,1.172894087,1.178898627,1.170635328,1.173852481
1,6,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,15963,21584,1356,1551,1214,1399,1284.5026,1470.27332,1.14727995,16178,0.443277466,142.5648023,1,0.739575612,0.871626842,151.1331576,153.4438008,66.09841148,23.11981326,20.51828453,132.3752243,135.4734129,-19.68969435,479.7300141,0.986710347,0.828146463,0.026859926,0.131385315,0.038280957,0.011020598,0.023485547,0.071699991,0.014315182,0.008477941,0.006380828,0.00346392,0.023300998,0.02035727,0.005543105,0.004551888,0.002823576,0.009492031,0.006089776,0.007406081,0.00947449,0.006306278,0.009788267,0.00631915,0.003767768,0.001631229,0.00595499,0.004902096,0.003647526,0.004390118,0.002445501,0,0.418731756,0,0,0,0,0,64.22057506,5.143303859,1.533182284,0.492194293,0.159141913,0.576437422,0.344461445,0.531468668,0,0.14788847,0.123822963,0.147151493,0.133631987,0.502160315,0.77017418,0.474029735,0.617756098,0.729885763,0.587283418,0.746245937,0.6664837,1.134789046,1.339509587,1.098389813,1.229611521,0.042631056,0.035952129,0.043206878,0.039248415,3.30668058,3.53723498,3.286528925,3.428763334,-0.278004736,-0.156921793,-0.289956305,-0.211592632,0.810059221,0.672655023,0.819714244,0.745477412,0.78714774,0.721469878,0.789013323,0.754635294,5.992326046,5.982255855,5.989637639,5.985430894,2.755189369,2.735637364,2.762197261,2.75221136,3.21597258,2.962044073,3.262105404,3.086747091,0.929533224,0.933054563,0.934033785,0.926125797
1,7,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,8792,11739,638,1708,509,1617,572.0424249,1663.282188,1.191190489,8962,0.718505363,105.8032234,1,0.74895647,0.839496293,127.3902775,128.1405478,44.01136217,16.49371836,14.86606875,88.39916156,88.60266652,-88.58828494,362.7766953,0.98103102,0.679678098,0.067012103,0.169671358,0.080046395,0.01849274,0.010317416,0.03100604,0.011046534,0.028384357,0.028887831,0.010281934,0.007275508,0.007882331,0.015363867,0.004934407,0.011186286,0.006196598,0.010428223,0.007466908,0.000766562,0.002194711,0.008252729,0.007113095,0.004904448,0.004587438,0.013269164,0.007792115,0.00332932,0.004857846,0.002654756,0,0,0,0,0,0,0,68.90034253,1.802187087,0.545461821,0.114098416,0,0,0,0,0,0.446394732,0.427880055,0.455401791,0.433723679,0.231952107,0.282525204,0.229387269,0.263980758,0.490487007,0.363184696,0.484169366,0.414465447,0.782853234,0.86600189,0.778906533,0.838747096,0.079613392,0.071820434,0.080132412,0.074639557,1.807436992,1.858681354,1.783685868,1.849176511,-0.183814735,-0.100303717,-0.18003226,-0.130316114,0.553533351,0.422154983,0.545291702,0.476686239,0.88430567,0.860465675,0.885734682,0.869597114,6.248855499,6.240758521,6.239143367,6.2404089,1.573166176,1.566921032,1.551324597,1.575594839,0.678533436,0.604781374,0.660002598,0.637693639,0.227621386,0.221826644,0.222347467,0.225418599
1,8,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,20708,27600,1285,1784,1147,1584,1214.760576,1681.825913,1.223940978,21151,0.722470086,162.3768595,1,0.750289855,0.817032862,195.9011587,204.4749373,68,24.9618911,22.20360331,137,135.4464882,-14.82759691,564.3574311,0.979055364,0.630527686,0.041948616,0.197326883,0.074152982,0.010929876,0.014719793,0.026172055,0.014420027,0.02473367,0.015670771,0.007717937,0.008346267,0.026059281,0.023039779,0.003197721,0.012323025,0.00592575,0.011128396,0.004703571,0.005142574,0.00366039,0.005375396,0.011362617,0.003760747,0.006193309,0.007077897,0.005471783,0.007096177,0.001983265,0.001585334,0,0.170311277,0,0,0,0,0,65.587469,2.724495162,1.985400655,0.833761041,0.544717675,0.678020164,0.107241754,0.207189343,0,0.184666239,0.166738849,0.189814392,0.16753296,0.340958822,0.438642298,0.323425022,0.439926155,0.776633198,0.713806698,0.795070061,0.71203826,0.945758448,1.066760013,0.926844926,1.066432857,0.053904717,0.048595796,0.055550005,0.048477273,2.982101027,3.124774092,2.968292812,3.123144298,-0.358343811,-0.282099751,-0.382924814,-0.281073061,0.853217056,0.80103179,0.868807445,0.799937107,0.834593197,0.802610966,0.843611358,0.80135216,5.12930177,5.12643101,5.157990733,5.127282706,2.623691394,2.642832291,2.627144163,2.641317339,2.71194626,2.626714537,2.833019802,2.615522494,0.763226271,0.766339209,0.789111206,0.763862162
1,9,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,17161,23550,1767,1826,1610,1676,1687.621817,1754.358895,1.165250574,17512,0.229854661,147.8176709,1,0.728704883,0.858184516,150.7288357,157.276826,68.94200461,23.83200303,21.09502311,144.9568901,146.6930661,81.86569126,501.2863633,0.979956601,0.831060302,0.026345007,0.130227349,0.009146871,0.01244546,0.038863989,0.071988085,0.001847212,0.022081382,0.001005393,0.013340895,0.009797545,0.020180867,0.003209577,0.006166448,0.006334718,0.007127652,0.004286669,0.005146757,0.011374481,0.008027518,0.003585866,0.003730784,0.006975643,0.005177704,0.005350481,0.009761307,0.005360797,0.004477839,0.002460611,0,0.489424762,0,0,0,0,0,56.0127117,3.389537603,2.029190571,2.252423845,1.406833265,1.072520703,0.527998379,0.679210036,0,0.163842536,0.142250973,0.161768888,0.141269348,0.422791477,0.591065708,0.431995207,0.573791349,0.700739277,0.583188564,0.694370931,0.594865031,1.049305513,1.205388982,1.055642806,1.183107601,0.049374437,0.043086506,0.048734315,0.043447657,3.064568355,3.24572728,3.082093795,3.239264988,-0.279175164,-0.180126833,-0.269014256,-0.182331597,0.793748247,0.688497619,0.785069368,0.6912917,0.807708882,0.758862288,0.802624326,0.758178844,5.931529806,5.929637913,5.920071899,5.925663395,2.597337834,2.591209508,2.602166205,2.599340381,2.402781308,2.245064289,2.394929653,2.258802192,0.706393196,0.709032499,0.706731215,0.708148385
1,10,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,8635,11448,1585,1899,1477,1793,1532.060452,1845.756572,1.160603807,8822,0.550114294,104.8542964,1,0.754280224,0.861620472,115.093821,118.4440796,46.87216658,16.87482908,15,94.54880938,96.11362698,-43.15053448,354.8772004,0.978802993,0.783692599,0.012459585,0.155280484,0.05579931,0.004350388,0.010646967,0.071812942,0.014220915,0.019725477,0.007772919,0.005926536,0.008819205,0.009907821,0.012646301,0.01086656,0.007228039,0.002725469,0.006134171,0.005444998,0.0066346,0.01320449,0.014573381,0.006124706,0.006641777,0.00572437,0.00598209,0.002001179,0.003660921,0.003014231,0.00249716,0,0.805158512,0,0,0,0,0,55.80919797,4.173770164,0.912744276,0.878196664,0.994570714,1.762914865,0.863815693,1.14106385,0,0.153495944,0.129607621,0.144131436,0.129070555,0.427678249,0.643586275,0.496450487,0.668167985,0.758578513,0.639558556,0.720460076,0.620993537,1.050298422,1.243444351,1.117732889,1.268680238,0.049030692,0.04157589,0.045948651,0.041038506,3.243326313,3.476863913,3.332202497,3.479166756,-0.324364903,-0.20712175,-0.27921411,-0.200196176,0.845644549,0.743077157,0.812937492,0.734051145,0.80448479,0.743586275,0.781085309,0.742862769,5.783215102,5.808756611,5.812537601,5.795130858,2.781460432,2.779938328,2.788291115,2.762632676,3.115322451,2.927514024,3.055460664,2.857724313,0.885750175,0.892775075,0.887977788,0.881473075
