ImageNumber,ObjectNumber,Metadata_Cell,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_batch,Metadata_channel,Metadata_hour,Metadata_hour,Metadata_label,Metadata_label,Metadata_time,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Granularity_10_BF,Granularity_11_BF,Granularity_12_BF,Granularity_13_BF,Granularity_14_BF,Granularity_15_BF,Granularity_16_BF,Granularity_1_BF,Granularity_2_BF,Granularity_3_BF,Granularity_4_BF,Granularity_5_BF,Granularity_6_BF,Granularity_7_BF,Granularity_8_BF,Granularity_9_BF,Texture_AngularSecondMoment_BF_3_00_256,Texture_AngularSecondMoment_BF_3_01_256,Texture_AngularSecondMoment_BF_3_02_256,Texture_AngularSecondMoment_BF_3_03_256,Texture_Contrast_BF_3_00_256,Texture_Contrast_BF_3_01_256,Texture_Contrast_BF_3_02_256,Texture_Contrast_BF_3_03_256,Texture_Correlation_BF_3_00_256,Texture_Correlation_BF_3_01_256,Texture_Correlation_BF_3_02_256,Texture_Correlation_BF_3_03_256,Texture_DifferenceEntropy_BF_3_00_256,Texture_DifferenceEntropy_BF_3_01_256,Texture_DifferenceEntropy_BF_3_02_256,Texture_DifferenceEntropy_BF_3_03_256,Texture_DifferenceVariance_BF_3_00_256,Texture_DifferenceVariance_BF_3_01_256,Texture_DifferenceVariance_BF_3_02_256,Texture_DifferenceVariance_BF_3_03_256,Texture_Entropy_BF_3_00_256,Texture_Entropy_BF_3_01_256,Texture_Entropy_BF_3_02_256,Texture_Entropy_BF_3_03_256,Texture_InfoMeas1_BF_3_00_256,Texture_InfoMeas1_BF_3_01_256,Texture_InfoMeas1_BF_3_02_256,Texture_InfoMeas1_BF_3_03_256,Texture_InfoMeas2_BF_3_00_256,Texture_InfoMeas2_BF_3_01_256,Texture_InfoMeas2_BF_3_02_256,Texture_InfoMeas2_BF_3_03_256,Texture_InverseDifferenceMoment_BF_3_00_256,Texture_InverseDifferenceMoment_BF_3_01_256,Texture_InverseDifferenceMoment_BF_3_02_256,Texture_InverseDifferenceMoment_BF_3_03_256,Texture_SumAverage_BF_3_00_256,Texture_SumAverage_BF_3_01_256,Texture_SumAverage_BF_3_02_256,Texture_SumAverage_BF_3_03_256,Texture_SumEntropy_BF_3_00_256,Texture_SumEntropy_BF_3_01_256,Texture_SumEntropy_BF_3_02_256,Texture_SumEntropy_BF_3_03_256,Texture_SumVariance_BF_3_00_256,Texture_SumVariance_BF_3_01_256,Texture_SumVariance_BF_3_02_256,Texture_SumVariance_BF_3_03_256,Texture_Variance_BF_3_00_256,Texture_Variance_BF_3_01_256,Texture_Variance_BF_3_02_256,Texture_Variance_BF_3_03_256
1,1,Mcf7,nan,0,0,0,nan,1,1,0,0,20240515,114750,176808,1309,1493,991,937,1137.666606,1198.651573,3.953547014,131533,0.886397184,382.2358405,1,0.649009095,0.252937425,574.2417378,573.687197,127.0629765,46.82489737,43.10452412,305.5417433,265.8311518,-15.68839736,2387.672365,0.872404644,0.443927958,0.040433595,0.166510269,0.084386385,0.035226173,0.017775825,0.018928779,0.0555478,0.02747324,0.008197012,0.017019498,0.00515868,0.006210341,0.006867576,0.013187605,0.014866328,0.004447606,0.007114737,0.002751106,0.002644297,0.001351603,0.009484127,0.010443819,0.009720617,0.006992704,0.004814643,0.009895586,0.010071864,0.003819467,0.002250232,2.406205424,0,1.490086603,3.612984927,2.253575885,0,0.219356068,68.10665557,3.482193295,0.679342609,0.91082424,1.353009699,0,0.39838607,0,0,0.146237896,0.13495157,0.146838852,0.139040825,0.832946553,1.270975889,0.842244166,1.028679716,0.442937452,0.146761477,0.436082342,0.311524283,1.371856177,1.584975479,1.377837639,1.482582232,0.027283492,0.023697283,0.027246725,0.025267304,3.372440095,3.496737793,3.374729156,3.448983479,-0.090708121,-0.017159533,-0.088830166,-0.046157488,0.52361353,0.242335739,0.518912337,0.387778933,0.718330073,0.658796434,0.719600479,0.68822778,7.005103719,6.99785942,7.002346898,6.999536273,2.518740921,2.369719689,2.51499388,2.458602337,2.157549063,1.708204854,2.144873383,1.95960205,0.747623904,0.744795186,0.746779387,0.747070442
2,1,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,54187,84750,815,932,565,593,702.5659291,751.4728625,6.243221404,62131,0.745975825,262.6652455,1,0.639374631,0.16017372,330.3263462,340.7183588,100.8464179,33.1391367,28.60069929,240.7558471,219.9884358,4.303564811,2061.848989,0.872141121,0.586157984,0.060280187,0.181563399,0.073102321,0.021336302,0.024561058,0.007106739,0.032668707,0.021293147,0.016169566,0.013838593,0.010553236,0.008084875,0.017166133,0.012525836,0.010316988,0.011075008,0.00919846,0.005695944,0.000997237,0.007409564,0.007315453,0.004944153,0.001666237,0.002524442,0.003930364,0.004033518,0.003347081,0.000926023,0.00390139,0,0,1.285259682,0.17623247,4.536468095,0,0.405285703,63.45717636,3.935050906,1.075035007,0.392407815,0.048450344,1.527528842,0.785563764,1.189775517,0,0.218534754,0.193872022,0.219038862,0.203310967,0.409051749,0.577543101,0.40905115,0.497980559,0.542858968,0.353046087,0.542964596,0.442847022,1.019796972,1.174048622,1.021731934,1.108803603,0.05400034,0.047063585,0.054071452,0.049755554,2.674439078,2.823263507,2.675312997,2.766999896,-0.17361023,-0.069787147,-0.173175021,-0.109043019,0.631324264,0.42972178,0.630737887,0.522697219,0.805835391,0.751794505,0.806586804,0.776031461,6.103114889,6.096511381,6.109526526,6.099039558,2.228982193,2.170922923,2.226942986,2.206460382,1.380556798,1.207879599,1.380968382,1.28960949,0.447402137,0.446355675,0.447504883,0.446897512
2,2,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,43852,67500,646,992,421,692,532.5075481,840.7375946,5.560821086,51851,0.707629091,236.2924047,1,0.649659259,0.179829558,286.0535572,305.2867504,91.38927727,30.53029487,26,223.746392,202.1208909,14.95110058,1750.528137,0.845731037,0.599078332,0.045256269,0.197956257,0.063155684,0.019210979,0.018184438,0.023994153,0.024786554,0.009619098,0.012614009,0.012866197,0.001847871,0.018178126,0.016745022,0.002155534,0.004890428,0.008027236,0.015405915,0.002240733,0.003545021,0.00595951,0.004584468,0.008472183,0.004225394,0.003030787,0.00391683,0.004176948,0.004016826,0.004763305,0.003654562,0,0,1.216441295,0.166652947,4.423734782,0,0.397879175,64.12160143,4.376061662,1.153924377,0.0093298,0.209365037,1.30389553,0.76039475,1.122929479,0,0.198987997,0.177537257,0.199869457,0.184672576,0.452016492,0.637125663,0.448463569,0.570504652,0.55910608,0.378509544,0.562694038,0.440814792,1.069450653,1.230070371,1.065915178,1.176518973,0.047690875,0.041897608,0.047917017,0.043674826,2.833774222,2.990314223,2.830867549,2.938688842,-0.174121551,-0.072946663,-0.176137051,-0.101661051,0.646164609,0.450103853,0.648988519,0.519642153,0.793242026,0.741583996,0.79502545,0.758397553,6.236813421,6.230620433,6.244485814,6.22640829,2.334762914,2.277656752,2.334009563,2.298723085,1.598438147,1.413189532,1.602565267,1.469980841,0.51261366,0.512578799,0.512757209,0.510121373
2,3,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,22999,55615,528,1161,283,934,376.4093221,1036.249054,17.6978413,38325,0.634755068,171.1234534,1,0.413539513,0.056504066,218.7420174,258.3795658,58.87274412,16.73410044,11.66190379,197.408034,169.0248888,-26.31441876,2261.619587,0.600104371,0.414560222,0.106353831,0.135783243,0.007086664,0.07132604,0.005096797,0.00194868,0.005258416,0.013510959,0.013414428,0.008919957,0.003815113,0.003105196,0.013178179,0.007639602,0.004427287,0.006200674,0.00773018,0.004807959,0.008811932,0.00762908,0.01121271,0.002739673,0.004668901,0.003490037,0.00588692,0.003098797,0.003269767,0.002145392,0.001892413,0,0,1.493298139,0.202220799,5.015082112,0,0.428754086,54.16687914,5.822252614,1.744261247,0.435449742,4.607827623,2.563439739,1.046363648,1.45875584,0,0.113915895,0.101806222,0.111705903,0.104693111,0.71398013,1.061983064,0.73540745,0.94058241,0.619526519,0.429952807,0.607336637,0.499861064,1.283947779,1.49502612,1.298679024,1.43159572,0.037416345,0.03180648,0.036733947,0.033280578,3.610369648,3.795329246,3.632301881,3.757569818,-0.186882756,-0.086660491,-0.17444655,-0.112459295,0.724509858,0.539379996,0.70747598,0.600779404,0.724798604,0.66750428,0.717454814,0.683678907,6.268954699,6.220608507,6.265591551,6.234042553,2.833243827,2.746862547,2.82864575,2.783999153,3.039133637,2.663964813,3.010332637,2.820702071,0.938278442,0.931486969,0.936435022,0.94032112
2,4,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,15488,22436,1339,1240,1197,1082,1270.424716,1157.819925,3.409453718,17635,0.434372061,140.4276827,1,0.69031913,0.293302119,149.5258802,164.1036258,62.00806399,20.0508188,17,137.760235,134.6829756,6.840570196,814.6011178,0.878253473,0.732266397,0.043529624,0.176497892,0.028357572,0.008247932,0.00376271,0.06281382,0.009532728,0.006977618,0.013473359,0.007673724,0.007415464,0.004076611,0.013037018,0.00385605,0.0041402,0.010364273,0.00447901,0.00625688,0.010706119,0.012538702,0.005974562,0.00576213,0.00677251,0.009156837,0.00215981,0.004047077,0.004418531,0.006321414,0.002969051,0,0,0.968357522,0.134020589,3.834852244,0,0.357096728,66.4372351,4.862401704,1.069268486,1.007100483,0,0.112565173,0.65120959,0.92076516,0,0.142158585,0.127583231,0.143644973,0.134428984,0.64240742,0.962562052,0.632975491,0.77271169,0.518265193,0.273553723,0.525130936,0.420746142,1.232621366,1.437787351,1.231607683,1.323897939,0.041713122,0.035574583,0.041913479,0.038981106,3.233027814,3.387913134,3.221278492,3.313689267,-0.130639262,-0.035134757,-0.13747919,-0.083879471,0.602965523,0.337801079,0.615187342,0.501821386,0.738976213,0.677194339,0.744439943,0.711238379,6.092681606,6.071221732,6.092026197,6.089132671,2.520137499,2.404931176,2.521745849,2.484500326,2.02465093,1.687495032,2.032919337,1.895243574,0.666764587,0.662514271,0.666473707,0.666988816
2,5,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,24890,43571,824,1324,591,1137,712.6699879,1235.119928,6.765016878,32415,0.636371457,178.0194716,1,0.571251521,0.147819291,208.2881432,249.2087478,67,21.10679308,17,183.8961999,160.6698836,66.65293012,1454.627596,0.767854388,0.510279885,0.038896226,0.220067577,0.037658868,0.013555461,0.007115447,0.005269138,0.018399528,0.012269764,0.014972806,0.006022744,0.004751467,0.033833887,0.008661236,0.006626187,0.00182119,0.007700039,0.002044501,0.011516356,0.002346621,0.005787271,0.007251224,0.002625967,0.007330797,0.002088194,0.006701756,0.002770351,0.007093154,0.005346307,0.001642216,0,0,1.376588303,0.187044767,4.707504908,0,0.409954273,56.00098809,6.040296603,2.187816023,0.139678728,3.940351065,2.288370973,0.945740357,1.329029966,0,0.102275735,0.087548464,0.100259186,0.09129987,0.808512439,1.287296866,0.833728814,1.114214184,0.625157661,0.405121169,0.614555158,0.486067569,1.359262783,1.598947847,1.371294268,1.530729598,0.032954147,0.027656629,0.032670308,0.028850331,3.772802885,3.992761558,3.785367333,3.935317593,-0.179318277,-0.074272173,-0.175368445,-0.102742297,0.724150029,0.514855592,0.718992716,0.589089658,0.711999297,0.64200251,0.705217118,0.664765454,6.254019293,6.2363895,6.259152542,6.239521734,2.917812483,2.832712632,2.921097855,2.869105767,3.505367582,3.040632785,3.492331485,3.221819567,1.078470005,1.081982413,1.081515075,1.084008438
2,6,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,22842,36890,1419,1453,1249,1236,1336.671745,1341.80352,4.434101665,27162,0.539159065,170.538376,1,0.619192193,0.225524825,188.6849443,216.0208323,73.05477397,23.06159943,19.10497317,166.3331429,158.9112065,-5.125061,1128.170706,0.840954274,0.610962518,0.101130528,0.186982203,0.019479406,0.023026385,0.012124906,0.025659552,0.019318607,0.001456117,0.035340113,0.004782709,0.006717108,0.003953436,0.006238646,0.00227924,0.005150241,0.003859115,0.010175218,0.009058528,0.001483604,4.91E-05,0.010566215,0.006384431,0.004386215,0.002908026,0.008327024,0.003602775,0.002304627,0.004993527,0.000527686,0,0,1.213075229,0.166793586,4.282658705,0,0.377236174,62.81071194,4.440434656,3.107704576,1.307578285,0,0.139114195,0.810286868,1.155570991,0,0.134606524,0.11868833,0.138530946,0.12499618,0.607774824,0.885738154,0.575830898,0.752035357,0.603069517,0.420877566,0.625293199,0.507140191,1.210132511,1.396163411,1.19003571,1.314672759,0.042491789,0.03666153,0.043435072,0.039177077,3.345068475,3.523609946,3.317516507,3.449605593,-0.181592206,-0.082965916,-0.199245399,-0.121142119,0.69808153,0.512708827,0.721165959,0.599225426,0.749087742,0.690104259,0.76061074,0.716586073,6.117539195,6.100106743,6.110619065,6.099604559,2.665043897,2.594675419,2.673464981,2.630929445,2.454599317,2.173159593,2.497670289,2.299685817,0.765593535,0.764724437,0.768375297,0.762930294
3,1,Mcf7,nan,0,0,1,nan,1,1,0,0,20240515,28003,40356,898,644,670,467,777.5538692,557.2635432,1.87622099,29380,0.645890704,188.8240635,1,0.693899296,0.532986255,216.8827364,227.1409254,80.60397013,28.97308199,25.49509757,165.9569747,165.5747638,79.87726618,812.54834,0.953131382,0.690341703,0.038368625,0.188529221,0.067493628,0.011740301,0.005127503,0.048202197,0.006227501,0.017350823,0.007903014,0.010916232,0.003647118,0.01904103,0.024029125,0.010272327,0.005633966,0.009339933,0.004092801,0.005776742,0.005584695,0.01339029,0.006821461,0.004584382,0.003726425,0.003110913,0.001861532,0.005653707,0.004312528,0.003443209,0.004254227,0.419839745,1.76201976,0.968053023,0.847785607,0.741899804,1.701909245,0.795593915,68.48440005,4.128607296,1.939915276,0.07040177,0,0,0.644054005,0.194813048,0.361592255,0.1781269,0.157514459,0.177450589,0.159494273,0.44279444,0.616046057,0.429553138,0.572719194,0.649778935,0.513713928,0.66286264,0.547091489,1.067285342,1.223469113,1.046723885,1.178683106,0.052588286,0.04582558,0.053036091,0.047114952,3.018710113,3.192341614,3.011306248,3.155917029,-0.236534049,-0.136350005,-0.246344637,-0.156367161,0.745018883,0.610897927,0.755568133,0.643838206,0.799231895,0.751136983,0.800569602,0.756649882,5.863350402,5.860021405,5.871784507,5.865743483,2.521569946,2.494621922,2.535734508,2.509370616,2.085862367,1.917631516,2.118684997,1.95635315,0.632164202,0.633419393,0.637059534,0.632268086
3,2,Mcf7,nan,0,0,1,nan,1,1,0,0,20240515,53744,79450,1129,1063,902,713,1016.465708,900.0569552,2.408117747,57259,0.780396497,261.5893463,1,0.676450598,0.415262086,332.9545448,349.0701935,104.1393297,37.14313137,32.89376841,219.2589156,208.1914761,-7.632704624,1275.289501,0.938612271,0.561225107,0.062779366,0.192304779,0.078711227,0.021240628,0.01654146,0.002539253,0.024169052,0.025648278,0.014583318,0.014557223,0.006908453,0.018216813,0.020541723,0.011266195,0.009283294,0.013397345,0.010080848,0.010324801,0.003713179,0.012151321,0.004926226,0.00626328,0.007647372,0.003685405,0.001702771,0.00535609,0.006789344,0.005568722,0.001512614,0.618881233,2.156392675,1.1505472,1.009761039,0.849358225,1.891180573,0.864147454,65.96531644,3.552294229,1.497925917,0.624297857,0.01903207,0.083895897,2.105856624,0.322900516,0.594178851,0.22816175,0.1995336,0.225487567,0.209324056,0.374630931,0.538678107,0.380818855,0.467684245,0.602807639,0.427034419,0.596453534,0.503755253,0.986597761,1.148851971,0.992977835,1.086557372,0.047496819,0.041132902,0.047054745,0.043353223,2.658247211,2.829907209,2.669772503,2.769826516,-0.217173955,-0.098673394,-0.210074574,-0.141493145,0.69044428,0.504500603,0.682374326,0.586601383,0.821485037,0.76602604,0.81825278,0.788536945,6.6005867,6.594909314,6.602678994,6.595531838,2.257032037,2.225570917,2.258431952,2.24876107,1.511764519,1.341637655,1.506541771,1.417209239,0.471598862,0.470078941,0.471840156,0.471223371
3,3,Mcf7,nan,0,0,1,nan,1,1,0,0,20240515,43646,65280,946,1343,674,1103,808.9154333,1213.571141,3.55612684,48199,0.627190803,235.7367455,1,0.668596814,0.281204818,270.2219416,297.5315109,96.56603958,32.70760808,28.3019434,221.709697,210.4665874,-49.35875961,1396.579869,0.905537459,0.627752761,0.046718694,0.204840215,0.050564787,0.00477335,0.023646183,0.034255172,0.012882813,0.013506566,0.020668535,0.015294688,0.005548223,0.022830964,0.020868023,0.010122628,0.007976944,0.003416452,0.011178997,0.003120315,0.001319439,0.00473988,0.003737443,0.002530561,0.002336124,0.005440308,0.008191652,0.008148206,0.002547785,0.003037142,0.002610632,0.55571491,1.950173897,1.056079261,0.93411929,0.787473023,1.76523497,0.813515437,68.35520578,3.398702084,1.135910174,0.410248384,4.68E-07,0.03046636,1.536507094,0.285987275,0.532589378,0.236487157,0.20844231,0.233378679,0.216473869,0.343984741,0.476368248,0.35789424,0.4362873,0.640213369,0.499273291,0.625428661,0.542350471,0.947408927,1.089822437,0.966546448,1.054895751,0.053569911,0.046586307,0.052690119,0.048349853,2.628173712,2.787628366,2.649225355,2.748874421,-0.250836521,-0.139948514,-0.237173991,-0.168410281,0.727609425,0.585328525,0.713975993,0.629919842,0.832557044,0.783411109,0.827562621,0.798707244,6.458520734,6.444157274,6.453700646,6.452227335,2.264244991,2.258867494,2.267191459,2.264546489,1.568174919,1.426339316,1.553059445,1.470356418,0.478039915,0.475676891,0.477738421,0.476660929
