ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_DNA,Intensity_IntegratedIntensity_DNA,Intensity_LowerQuartileIntensity_DNA,Intensity_MADIntensity_DNA,Intensity_MassDisplacement_DNA,Intensity_MaxIntensityEdge_DNA,Intensity_MaxIntensity_DNA,Intensity_MeanIntensityEdge_DNA,Intensity_MeanIntensity_DNA,Intensity_MedianIntensity_DNA,Intensity_MinIntensityEdge_DNA,Intensity_MinIntensity_DNA,Intensity_StdIntensityEdge_DNA,Intensity_StdIntensity_DNA,Intensity_UpperQuartileIntensity_DNA,Texture_AngularSecondMoment_DNA_3_00_256,Texture_AngularSecondMoment_DNA_3_01_256,Texture_AngularSecondMoment_DNA_3_02_256,Texture_AngularSecondMoment_DNA_3_03_256,Texture_Contrast_DNA_3_00_256,Texture_Contrast_DNA_3_01_256,Texture_Contrast_DNA_3_02_256,Texture_Contrast_DNA_3_03_256,Texture_Correlation_DNA_3_00_256,Texture_Correlation_DNA_3_01_256,Texture_Correlation_DNA_3_02_256,Texture_Correlation_DNA_3_03_256,Texture_DifferenceEntropy_DNA_3_00_256,Texture_DifferenceEntropy_DNA_3_01_256,Texture_DifferenceEntropy_DNA_3_02_256,Texture_DifferenceEntropy_DNA_3_03_256,Texture_DifferenceVariance_DNA_3_00_256,Texture_DifferenceVariance_DNA_3_01_256,Texture_DifferenceVariance_DNA_3_02_256,Texture_DifferenceVariance_DNA_3_03_256,Texture_Entropy_DNA_3_00_256,Texture_Entropy_DNA_3_01_256,Texture_Entropy_DNA_3_02_256,Texture_Entropy_DNA_3_03_256,Texture_InfoMeas1_DNA_3_00_256,Texture_InfoMeas1_DNA_3_01_256,Texture_InfoMeas1_DNA_3_02_256,Texture_InfoMeas1_DNA_3_03_256,Texture_InfoMeas2_DNA_3_00_256,Texture_InfoMeas2_DNA_3_01_256,Texture_InfoMeas2_DNA_3_02_256,Texture_InfoMeas2_DNA_3_03_256,Texture_InverseDifferenceMoment_DNA_3_00_256,Texture_InverseDifferenceMoment_DNA_3_01_256,Texture_InverseDifferenceMoment_DNA_3_02_256,Texture_InverseDifferenceMoment_DNA_3_03_256,Texture_SumAverage_DNA_3_00_256,Texture_SumAverage_DNA_3_01_256,Texture_SumAverage_DNA_3_02_256,Texture_SumAverage_DNA_3_03_256,Texture_SumEntropy_DNA_3_00_256,Texture_SumEntropy_DNA_3_01_256,Texture_SumEntropy_DNA_3_02_256,Texture_SumEntropy_DNA_3_03_256,Texture_SumVariance_DNA_3_00_256,Texture_SumVariance_DNA_3_01_256,Texture_SumVariance_DNA_3_02_256,Texture_SumVariance_DNA_3_03_256,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
1,1,19067,29892,1.410110549,20072,0.636494986,155.8103283,1,0.637862973,0.709164257,178.7504653,187.6832438,66.64082833,23.60468838,20.88061302,133.9269338,137.8668089,-61.98881108,581.2630227,0.949930251,0.689121701,0.021163467,0.189448048,0.063650545,0.006711474,0.008847892,0.052432474,0.013164771,0.014872073,0.006506224,0.00588931,0.008827336,0.011777101,0.027272721,0.013776863,0.014227391,0.006130052,0.006123161,0.008229892,0.002738852,0.010639293,0.004399086,0.003553987,0.006327219,0.007632258,0.003885526,0.007891609,0.001522951,0.002076674,0.001808853,5.272938188,315.1040077,0.01200885,0.002388037,8.834585257,0.015350576,0.068955518,0.010717354,0.016526145,0.01389334,0.008468757,0.008209354,0.001460959,0.007753475,0.018020906,0.211402068,0.198300334,0.21145564,0.206148885,0.398385795,0.464352207,0.383009787,0.685066696,0.950222363,0.942478205,0.952235269,0.91487443,0.991372902,1.062305079,0.969794286,1.151038409,0.028512985,0.027155373,0.028997819,0.026457713,3.3295279,3.43687319,3.305528845,3.429580131,-0.547557889,-0.508591152,-0.559242639,-0.508939459,0.958522144,0.950821243,0.960816564,0.950678488,0.857157904,0.842750196,0.861959876,0.833530753,8.519774011,8.56970759,8.535716217,8.534866067,2.982203502,3.024269334,2.976352693,3.009387775,15.60823153,15.68090911,15.65433729,15.41037204,4.001654332,4.03631533,4.009336768,4.023859683
1,2,13071,16512,1.109091654,13217,0.224416824,129.0058684,1,0.791606105,0.901638738,130.8085385,133.0037593,62.16912417,21.45624991,18.97366596,126.8130947,127.4720375,-47.52217919,426.8183259,0.98895362,0.920852076,0.024691619,0.069678633,0.011429279,0.018388399,0.018141871,0.053318923,0.008044187,0.00833443,0.010092915,0.011000536,0.00761616,0.034288849,0.004248503,0.004263217,0.005084221,0.002276067,0.004489009,0.004606894,0.004803128,0.016972103,0.001391849,0.00338361,0.002920873,0.001383745,0.003503354,0.002658375,0.003586547,0.001114286,0.005143043,3.763210543,193.3422156,0.013214313,0.001586938,0.536765952,0.011505303,0.02151522,0.010226116,0.014791693,0.015075914,0.008850233,0.008850233,0.000533692,0.002288442,0.016464485,0.332804826,0.327155081,0.336208961,0.327410662,0.205958856,0.22415034,0.200252286,0.22244393,0.713179536,0.6826543,0.721312834,0.685984583,0.733686895,0.768274914,0.722432381,0.765200893,0.08437562,0.080958072,0.08550512,0.081273095,2.120808087,2.152591411,2.107402126,2.151090884,-0.376935834,-0.338110423,-0.387883928,-0.34192385,0.791570296,0.763876626,0.798293832,0.766932977,0.897020572,0.888020792,0.899873857,0.888873813,7.61448727,7.639104358,7.614632608,7.635645303,1.914849232,1.927659652,1.90714984,1.927866228,1.230192893,1.188506835,1.236859365,1.194326826,0.359037937,0.353164294,0.359277913,0.354192689
1,3,14871,19470,1.20019308,15124,0.707042819,137.6021267,1,0.763790447,0.833199271,164.2179601,164.6845469,56.08921465,21.42379584,19.20937271,114.7383556,116.130136,-86.26526128,473.5878785,0.983271621,0.698143331,0.067508189,0.164411575,0.080417774,0.01828894,0.005303725,0.037564583,0.007208165,0.023349505,0.029763302,0.01271043,0.003977611,0.001567873,0.014795535,0.010412182,0.010341713,0.003324388,0.011314823,0.005659576,0.003515133,0.002693245,0.001514574,0.007933114,0.007562852,0.004543768,0.012320084,0.009378853,0.003647817,0.001222599,0.00329519,4.080918639,178.0421471,0.011047532,0.000839246,0.716140177,0.011810483,0.017242694,0.010101284,0.011972439,0.011825742,0.008438239,0.008148318,0.000562022,0.001314147,0.012726025,0.68436193,0.684843254,0.690389144,0.685422121,0.10609403,0.10693236,0.101349471,0.10591944,0.548099922,0.539139353,0.561680054,0.544438241,0.488020773,0.49059312,0.473258779,0.487483713,0.122064765,0.121800868,0.123568898,0.122119795,1.066644069,1.059645765,1.040210087,1.057910727,-0.284053504,-0.272936922,-0.301539438,-0.27937292,0.545454487,0.533485455,0.555713497,0.539207264,0.946952985,0.94653382,0.949325264,0.94704028,6.168275196,6.17695762,6.174526989,6.175971979,0.960550039,0.952713405,0.938860615,0.951991287,0.363452381,0.357122711,0.3610957,0.359086402,0.117386603,0.116013768,0.115611293,0.11625146
1,4,13990,19170,1.446661991,14739,0.420921634,133.4639323,1,0.729786124,0.691246474,141.295908,148.1654481,59.48108943,20.81235359,18.35755975,128.8501181,128.169095,22.80395439,504.3097039,0.949182441,0.778368335,0.059456343,0.150401049,0.033382461,0.021903991,0.036260828,0.060431351,0.001061898,0.009916807,0.012523599,0.004413325,0.010282558,0.004691137,0.012782869,0.010690541,0.006786659,0.015221326,0.011285289,0.004082585,0.001586756,0.007006833,0.008574507,0.002576747,0.002570891,0.003835476,0.008461837,0.002031432,0.004926027,0.003882182,0.006190152,4.483192234,302.6357229,0.011566339,0.004272525,5.981842062,0.013000687,0.075486384,0.010235599,0.021632289,0.014801252,0.008651866,0.008392463,0.000703,0.013478569,0.029694056,0.148136186,0.137351438,0.149835601,0.136280105,1.149733807,1.77516252,1.061823005,2.064496775,0.951567377,0.925515155,0.955222489,0.91344575,1.51880335,1.708468792,1.482170392,1.802090972,0.019027765,0.017081503,0.019498805,0.015943266,4.585272409,4.801735757,4.558394479,4.844677589,-0.489560385,-0.426312587,-0.496891839,-0.412753926,0.974072093,0.962207886,0.975138436,0.958912394,0.746756042,0.713103598,0.75467191,0.692474134,11.27085182,11.32772921,11.25119741,11.34978251,3.789662604,3.830099047,3.785305938,3.825871093,46.32792589,45.88990359,46.36479759,45.6396141,11.86941493,11.91626653,11.85665515,11.92602772
1,5,13300,15756,1.205033408,13579,0.762142227,130.1310338,1,0.844122874,0.829852511,162.5846258,155.5442059,49.76946855,19.70123503,18,100,105.258852,-3.794536958,448.7766953,0.979453568,0.699614297,0.056240063,0.14848623,0.106599929,0.008497553,0.023029586,0.016683735,0.008656258,0.012323906,0.015678311,0.012017346,0.003592181,0.008195411,0.020107368,0.0191281,0.002744925,0.005074859,0.013062848,0.014084784,0.006026892,0.006932393,0.001638098,0.004090556,0.006449414,0.003216949,0.002398032,0.007463033,0.003615408,0.003190713,0.002245525,4.059556002,188.6813778,0.012680247,0.001495384,0.641118724,0.012252995,0.021805143,0.010225582,0.01418657,0.014221408,0.00889601,0.00889601,0.000536802,0.002147136,0.015655756,0.314939985,0.306509555,0.319398484,0.309822597,0.210255611,0.230271975,0.199167887,0.221418462,0.693494076,0.662527814,0.711941972,0.675330265,0.742524953,0.780608434,0.720780892,0.762749128,0.075040689,0.071963942,0.076912912,0.073194029,2.096129377,2.136387947,2.076440441,2.114964417,-0.348225003,-0.312109989,-0.371032873,-0.327979381,0.766024098,0.739049142,0.782095733,0.750888772,0.894965711,0.885337012,0.900508514,0.889290769,7.324968828,7.340875049,7.308498343,7.337788961,1.88501864,1.902545102,1.876425898,1.893545955,1.16169576,1.134415159,1.183663813,1.142542745,0.342987843,0.341171783,0.345707925,0.340990302
1,6,11457,14859,1.145419775,11661,0.431928524,120.7787459,1,0.77104785,0.873042374,127.6851326,128.4133949,55.10898293,19.60574202,17.4642492,114.8561642,115.160222,-7.166598172,406.0904038,0.982505789,0.860105727,0.017143947,0.109757166,0.038905,0.00812847,0.037591691,0.064445575,0.014281086,0.009869178,0.000879242,0.012007992,0.007184398,0.023907203,0.004932934,0.004671782,0.005283006,0.005444239,0.004695222,0.011298225,0.001482718,0.000893662,0.011586377,0.003251434,0.00216684,0.006014814,0.004826725,0.008894092,0.006562418,0.003002234,0.00454642,3.576501147,143.2789363,0.011490043,0.000991837,0.43436994,0.011581598,0.017029069,0.010189462,0.012505799,0.012420844,0.008957046,0.008697643,0.000532141,0.00141301,0.013504234,0.514839244,0.50930806,0.516656771,0.508099753,0.158089563,0.163446571,0.156207797,0.164670385,0.57033496,0.556271307,0.575112863,0.554325009,0.629719531,0.642491457,0.625159717,0.645366435,0.106761099,0.105307284,0.107277232,0.10497838,1.444271655,1.452670814,1.43887908,1.458387333,-0.266647745,-0.253680025,-0.272711212,-0.252589247,0.598967606,0.586767449,0.604268734,0.586530228,0.920955218,0.918276715,0.921896102,0.917664808,6.406193572,6.41452248,6.404699739,6.412818872,1.286182092,1.289224244,1.282671283,1.293716948,0.577783958,0.573249403,0.579082981,0.574300338,0.18396838,0.184173994,0.183822695,0.184742681
1,7,12242,20711,2.232354711,14184,0.591126954,124.8479015,0,0.591086862,0.447957484,142.2485716,148.7884404,47.88527958,16.84431173,14.76482306,120.9462516,114.7346437,32.77813885,586.020382,0.863085166,0.701059424,0.047423408,0.168084932,0.054347908,0.006903806,0.021056401,0.035984539,0.018595997,0.02539316,0.014868961,0.008149811,0.022854979,0.009836905,0.018864366,0.011742601,0.017692564,0.005488082,0.010958185,0.009539023,0.002564345,0.000662405,0.004449502,0.005144147,0.003117593,0.007004144,0.005284965,0.002953736,0.008072467,0.004763807,0.004167867,5.187640251,156.9365391,0.011047532,0.001419089,1.065587868,0.013488975,0.022766462,0.010416948,0.012819518,0.012268254,0.008514535,0.008514535,0.000910848,0.002350725,0.014114595,0.404581808,0.393725199,0.400425084,0.387073442,0.182345911,0.200676437,0.187958383,0.207354089,0.757363061,0.734216641,0.750327783,0.726322204,0.686035348,0.725770575,0.698068451,0.737763325,0.079934344,0.076936871,0.078922586,0.075604804,1.969677326,2.015212957,1.989160217,2.037743203,-0.41615753,-0.384188464,-0.40299837,-0.370862344,0.802994049,0.785148547,0.795963959,0.777534856,0.909031928,0.90049432,0.906225482,0.896635157,6.648967048,6.662388344,6.64727955,6.660393721,1.786322315,1.8109029,1.800195161,1.828569284,1.320689133,1.309398823,1.317682775,1.307961305,0.375758761,0.377518815,0.376410289,0.378828849
1,8,11520,18480,1.455612453,12202,0.406416836,121.1103611,1,0.623376623,0.686996046,128.1944131,139.7032569,53.03772242,18.43373157,16.2788206,113.091731,117.1296685,-62.91289678,459.0437226,0.944107523,0.741734238,0.011540442,0.175897471,0.02546577,0.000526121,0.035889163,0.067820467,0.00402532,0.026295482,0.007938828,0.004116421,0.00909533,0.003531792,0.010219046,0.005720697,0.000919024,0.005922844,0.015001638,0.001376104,0.013340232,0.019032599,0.008543103,0.00874961,0.002614399,0.009755237,0.001225865,0.007500292,0.004065396,0.006882566,0.001700351,3.91743348,249.592097,0.011612115,0.003555352,6.92096585,0.012939651,0.078233004,0.010255061,0.021665981,0.014282444,0.008697643,0.008697643,0.000643264,0.015509,0.025452049,0.154813966,0.13716224,0.151163556,0.142252689,1.494824948,2.775125743,1.347943723,2.347111192,0.952885487,0.913283903,0.957559993,0.926386705,1.623838662,1.89875935,1.595748822,1.849700203,0.017518212,0.014808446,0.017414041,0.014993987,4.586546076,4.880720192,4.578374763,4.794727085,-0.465543369,-0.381344216,-0.469613635,-0.40332201,0.968581711,0.948532515,0.96942515,0.954611406,0.734849106,0.683119596,0.732466943,0.686830632,11.30870309,11.39497028,11.32016595,11.35946584,3.75628281,3.821912872,3.770104172,3.803887032,61.96014296,61.22973236,62.17436967,61.42156556,15.86374198,16.00121453,15.88057835,15.94216919
1,9,13228,21593,1.641279534,14427,0.499271157,129.7783214,1,0.612605937,0.609280734,141.5453586,150.119952,57.00877125,19.07400531,16.4924225,118.4436956,122.6413804,-61.94185196,522.3279938,0.916891939,0.738731629,0.059979709,0.160773071,0.044487354,0.013668658,0.021749472,0.04787146,0.009927813,0.025336006,0.012822992,0.018077288,0.014188329,0.004714412,0.011826819,0.013760677,0.010704746,0.009379965,0.007068981,0.01447273,0.007143954,0.003896048,0.010977933,0.009939018,0.006955457,0.004744044,0.003399239,0.009657856,0.006925872,0.004083964,0.005333847,4.630884309,329.7514625,0.011718929,0.003448538,4.763152471,0.01373312,0.12011902,0.010572795,0.024928293,0.014221408,0.008636607,0.008636607,0.000961776,0.022228447,0.028183414,0.163134084,0.148291513,0.162511863,0.154132729,1.686647861,3.908873475,2.387960129,3.628140307,0.974205105,0.94082542,0.963512774,0.944801422,1.654396415,2.024199891,1.770405015,1.939738522,0.012050907,0.009879377,0.011575177,0.01068918,4.748735416,5.059589379,4.813665726,4.994166083,-0.514654256,-0.429387809,-0.494807432,-0.446830304,0.981210675,0.96804774,0.978661629,0.971339911,0.735466461,0.672934613,0.721992227,0.696628298,13.01559317,13.14239018,13.02809827,13.0721283,3.944434209,4.00446088,3.948090185,3.988231782,129.0871256,128.2043922,128.5049793,127.8296055,32.69344337,33.02831641,32.72323485,32.86443646
1,10,17678,27398,2.036079784,20040,0.802142948,150.0277597,1,0.645229579,0.49113989,198.3844821,205.1194774,55.6057551,19.70094247,17.49285568,130.4573966,118.4617335,84.51066989,672.5411973,0.882135729,0.534970021,0.050658021,0.185952358,0.076259036,0.027596071,0.021968523,0.001744806,0.039868445,0.020099115,0.010327816,0.02161854,0.004757882,0.006484316,0.010467603,0.010502479,0.014685189,0.011552472,0.01328069,0.005341194,0.006062878,0.003918108,0.010463485,0.009519498,0.005325405,0.010830226,0.002328828,0.009484182,0.004554124,0.006843482,0.001663691,5.964812759,388.9241036,0.011093309,0.001678492,10.4616854,0.012390326,0.146196693,0.01023124,0.022000458,0.012390326,0.008438239,0.008438239,0.000637949,0.025972891,0.016311895,0.323239834,0.313291279,0.320548008,0.312859378,1.670662167,3.070027345,2.047537901,3.915813155,0.981318084,0.966254766,0.977281102,0.956817226,1.35713442,1.612076404,1.475869806,1.710593249,0.013588969,0.012280671,0.012891658,0.01164631,3.613916445,3.782105567,3.676019675,3.779559276,-0.541226028,-0.484557396,-0.518922408,-0.48370663,0.96516759,0.954440384,0.961205616,0.954102043,0.818481209,0.781390767,0.799498938,0.765439289,11.45432329,11.58090596,11.51375015,11.55633177,3.071018346,3.117513339,3.089696542,3.118394127,177.1827443,178.8832117,178.2022143,177.4441507,44.71335162,45.48830976,45.06243804,45.33999098
