ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_DNA,Intensity_IntegratedIntensity_DNA,Intensity_LowerQuartileIntensity_DNA,Intensity_MADIntensity_DNA,Intensity_MassDisplacement_DNA,Intensity_MaxIntensityEdge_DNA,Intensity_MaxIntensity_DNA,Intensity_MeanIntensityEdge_DNA,Intensity_MeanIntensity_DNA,Intensity_MedianIntensity_DNA,Intensity_MinIntensityEdge_DNA,Intensity_MinIntensity_DNA,Intensity_StdIntensityEdge_DNA,Intensity_StdIntensity_DNA,Intensity_UpperQuartileIntensity_DNA,Texture_AngularSecondMoment_DNA_3_00_256,Texture_AngularSecondMoment_DNA_3_01_256,Texture_AngularSecondMoment_DNA_3_02_256,Texture_AngularSecondMoment_DNA_3_03_256,Texture_Contrast_DNA_3_00_256,Texture_Contrast_DNA_3_01_256,Texture_Contrast_DNA_3_02_256,Texture_Contrast_DNA_3_03_256,Texture_Correlation_DNA_3_00_256,Texture_Correlation_DNA_3_01_256,Texture_Correlation_DNA_3_02_256,Texture_Correlation_DNA_3_03_256,Texture_DifferenceEntropy_DNA_3_00_256,Texture_DifferenceEntropy_DNA_3_01_256,Texture_DifferenceEntropy_DNA_3_02_256,Texture_DifferenceEntropy_DNA_3_03_256,Texture_DifferenceVariance_DNA_3_00_256,Texture_DifferenceVariance_DNA_3_01_256,Texture_DifferenceVariance_DNA_3_02_256,Texture_DifferenceVariance_DNA_3_03_256,Texture_Entropy_DNA_3_00_256,Texture_Entropy_DNA_3_01_256,Texture_Entropy_DNA_3_02_256,Texture_Entropy_DNA_3_03_256,Texture_InfoMeas1_DNA_3_00_256,Texture_InfoMeas1_DNA_3_01_256,Texture_InfoMeas1_DNA_3_02_256,Texture_InfoMeas1_DNA_3_03_256,Texture_InfoMeas2_DNA_3_00_256,Texture_InfoMeas2_DNA_3_01_256,Texture_InfoMeas2_DNA_3_02_256,Texture_InfoMeas2_DNA_3_03_256,Texture_InverseDifferenceMoment_DNA_3_00_256,Texture_InverseDifferenceMoment_DNA_3_01_256,Texture_InverseDifferenceMoment_DNA_3_02_256,Texture_InverseDifferenceMoment_DNA_3_03_256,Texture_SumAverage_DNA_3_00_256,Texture_SumAverage_DNA_3_01_256,Texture_SumAverage_DNA_3_02_256,Texture_SumAverage_DNA_3_03_256,Texture_SumEntropy_DNA_3_00_256,Texture_SumEntropy_DNA_3_01_256,Texture_SumEntropy_DNA_3_02_256,Texture_SumEntropy_DNA_3_03_256,Texture_SumVariance_DNA_3_00_256,Texture_SumVariance_DNA_3_01_256,Texture_SumVariance_DNA_3_02_256,Texture_SumVariance_DNA_3_03_256,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
1,1,11524,15860,1.329960669,11962,0.699313621,121.1313853,1,0.726607818,0.751901935,144.19819,147.6109752,51.623638,18.31412307,16.2788206,105.9410019,103.0750267,-54.55219478,438.8599564,0.963384049,0.673287716,0.017877478,0.187080891,0.078915568,0.0054153,0.020568203,0.038611391,0.009164674,0.023399464,0.009412395,0.014536527,0.006735529,0.018119527,0.027985045,0.00386545,0.008125402,0.003355058,0.00441063,0.00342943,0.001965684,0.005277048,0.007841398,0.007305036,0.006144297,0.003927551,0.00575092,0.008039076,0.007714695,0.004320505,0.000756731,4.227786729,163.4158249,0.013153277,0.001174944,2.050380775,0.016220341,0.020111391,0.011334549,0.014180478,0.014328222,0.007003891,0.007003891,0.002467791,0.002023995,0.015503166,0.329990779,0.3275131,0.332487223,0.327906636,0.237156995,0.256862205,0.236054972,0.248597285,0.663854249,0.622195342,0.657795498,0.64091125,0.79028041,0.821974386,0.788418054,0.809777976,0.078584371,0.075260885,0.078777882,0.07666137,2.134662957,2.152556128,2.126991367,2.150571122,-0.305534641,-0.263340665,-0.299242522,-0.280061376,0.732735862,0.692401528,0.725887044,0.70964472,0.881421502,0.871568897,0.881972514,0.875809955,7.295006748,7.317359772,7.294529776,7.302352941,1.897505962,1.895693923,1.890936395,1.900985709,1.173879701,1.102899777,1.143558507,1.136003513,0.352759174,0.339940495,0.34490337,0.3461502
1,2,8591,11536,1.222043746,8856,0.599310568,104.5868105,1,0.744712205,0.818301311,117.5023573,119.3314711,45.79301257,16.50092988,14.76482306,92.43972873,94.06258878,-36.45601279,363.2203461,0.970076784,0.768146133,0.042540852,0.152408088,0.067494338,0.012355519,0.021811349,0.054830046,0.01108959,0.017008933,0.008553389,0.008642072,0.010803345,0.000452672,0.019980786,0.001641592,0.007930645,0.008945971,0.010948476,0.005420422,0.003704623,0.005544991,0.017552097,0.00402341,0.01076982,0.00211453,0.002306568,0.002151848,0.00382658,0.003835823,0.001712344,4.262897721,140.9078517,0.01520943,0.001235981,0.777549543,0.016601816,0.021942474,0.013490183,0.016401799,0.016510261,0.010681315,0.010681315,0.001138139,0.001799711,0.017685207,0.336322116,0.326085435,0.337829066,0.33178845,0.255210858,0.278203859,0.255493842,0.26788563,0.575543433,0.531017133,0.57276832,0.550253113,0.819433154,0.852991885,0.820818462,0.841436906,0.068140901,0.065075702,0.06814319,0.066572502,2.069660834,2.09860338,2.06732265,2.085929872,-0.241915374,-0.20220728,-0.238410911,-0.217720542,0.65896556,0.613431084,0.654636696,0.631886867,0.872394571,0.86089807,0.872397972,0.866646214,8.394571013,8.416006927,8.394107703,8.408270953,1.814449976,1.82039952,1.810554007,1.81386418,0.947319048,0.908209884,0.940549681,0.92338723,0.300632476,0.296603436,0.299010881,0.297818215
1,3,18171,23184,1.132009962,18363,0.609276005,152.1053443,1,0.783773292,0.883384452,170.8459155,169.5435047,66.91038783,24.79040481,22,134.7516635,135.4736743,78.05846717,508.4163056,0.989544192,0.804514507,0.027780977,0.137596592,0.074844318,0.00423373,0.003330162,0.060524195,0.020172664,0.010451845,0.010595119,0.00799229,0.001148948,0.007132662,0.012909385,0.015007659,0.000945366,0.0078366,0.002493297,0.002242525,0.001598262,0.008570218,0.016116466,0.006046412,0.005579984,0.000805432,0.002162896,0.005641333,0.004357571,0.001401832,0.000895816,4.991104029,283.979555,0.014099336,0.001464866,1.119758041,0.014297703,0.023468375,0.011395215,0.015628174,0.015365835,0.007568475,0.007568475,0.001580625,0.002396607,0.017170215,0.302407259,0.295067116,0.307271952,0.299647948,0.239567495,0.268441455,0.231844682,0.248555575,0.71446772,0.6705519,0.724397136,0.704009049,0.795164105,0.842083809,0.781680402,0.810519982,0.070441628,0.066487052,0.071587626,0.06916707,2.321091475,2.352477835,2.302308515,2.336948843,-0.361941905,-0.31594878,-0.375389138,-0.348712183,0.800914672,0.765727552,0.80926752,0.792030504,0.880351411,0.866326531,0.884145582,0.875996797,8.074674776,8.100957702,8.081055074,8.09169956,2.080614914,2.080682484,2.069952976,2.08628304,1.438473912,1.36120191,1.450610128,1.430925325,0.419510352,0.407410841,0.420613703,0.419870225
1,4,12534,16330,1.231808876,12780,0.634482326,126.3280826,1,0.767544397,0.811814251,143.8419723,144.3675864,54.12023651,19.90416982,17.72004515,109.7642891,111.1808358,-79.80578865,440.4751801,0.980751174,0.765703121,0.016693731,0.157840986,0.076821583,0.007069618,0.005440859,0.060312871,0.011315593,0.011106985,0.002779203,0.005348005,0.006065119,0.000216781,0.02225702,0.013998148,0.00392152,0.003879499,0.004752123,0.001859635,0.002728155,0.010548013,0.017661529,0.002109618,0.006268847,0.002376013,0.003649262,0.001523935,0.004023121,0.003496251,0.001179983,5.450568447,204.7508673,0.015197986,0.001068131,0.344396305,0.016510261,0.022247653,0.014343601,0.016335636,0.016128786,0.011734188,0.011734188,0.000811575,0.00152292,0.017410545,0.491126076,0.477189642,0.489848349,0.479789435,0.17771208,0.195795997,0.179610046,0.190801533,0.54324163,0.496713012,0.536724951,0.513181721,0.675046263,0.713439985,0.679223229,0.703673847,0.080697409,0.07746043,0.0803489,0.078375396,1.542171854,1.572450095,1.541404932,1.572350268,-0.238912351,-0.199427926,-0.232911661,-0.212500155,0.584738638,0.542336848,0.577849627,0.558495309,0.91114396,0.902102002,0.910194977,0.904699217,8.397963374,8.410183402,8.402676801,8.404932511,1.364459774,1.376654098,1.361794885,1.380597774,0.600432741,0.582272984,0.595782656,0.593070155,0.194536205,0.194517245,0.193848176,0.195967922
1,5,13918,19188,1.334648474,14334,0.708727643,133.120051,1,0.725349177,0.749260962,158.7202853,160.7295866,55.10898293,20.43893353,18.24828759,113.7498756,111.9743353,-70.16419458,483.1442277,0.970978094,0.685816541,0.010988045,0.184775262,0.083824438,0.000870992,0.005941547,0.039942991,0.003180699,0.026233371,0.004973628,0.002454921,0.003936889,0.02220412,0.02747637,0.008694337,0.010477622,0.001973389,0.003395499,0.000956385,0.000930241,0.009633843,0.007272882,0.009929463,0.006436584,0.003634516,0.001620821,0.003785274,0.0011959,0.002438956,0.001426883,5.680476133,228.3126742,0.015030136,0.00125124,1.606362962,0.01684596,0.023346303,0.013888695,0.016404129,0.016220341,0.011154345,0.011154345,0.001055534,0.001908685,0.017593652,0.408862207,0.404323651,0.407137662,0.397934181,0.192555317,0.202490566,0.193649141,0.205465134,0.65751127,0.63584152,0.657031732,0.639204263,0.706786484,0.72808127,0.709534649,0.733621386,0.07802676,0.076412079,0.077869897,0.075873059,1.893139764,1.90396723,1.899805477,1.933967428,-0.32476784,-0.301981595,-0.323430952,-0.302720247,0.721128742,0.701406364,0.720784817,0.705945229,0.903722341,0.899026415,0.903264669,0.897446618,8.411603641,8.430415094,8.413475125,8.413020756,1.700584447,1.699253391,1.705306131,1.726933076,0.931892293,0.909610771,0.935604842,0.933490308,0.281111902,0.278025334,0.282313496,0.28473886
1,6,8285,12733,1.449209226,8961,0.741846672,102.7073008,1,0.650671484,0.690031489,130.1799508,126.6570172,37.64306045,14.15240021,13,88.77874912,87.29471046,37.33550484,388.4335495,0.924561991,0.656565972,0.14332806,0.091994202,0.068411148,0.039298138,0.017057827,0.02013793,0.034871947,0.031867976,0.012361001,0.010737034,0.004343955,0.02239109,0.010235658,0.003945564,0.010181712,0.006697138,0.00946216,0.011582026,0.004184708,9.41E-05,0.005186571,0.005367403,0.007421021,0.001529344,0.003860544,0.009830807,0.007613687,0.004733396,0.003270847,4.683482142,128.9061427,0.014648661,0.000885023,0.832624809,0.015854124,0.020737011,0.013980544,0.015558979,0.015503166,0.011871519,0.011871519,0.000653713,0.001235015,0.016433967,0.664324465,0.662159065,0.66741558,0.662543412,0.161473445,0.164450128,0.156033723,0.166881776,0.255786007,0.241743454,0.286471673,0.220592726,0.63782288,0.64485017,0.625289946,0.65052165,0.093755632,0.093086794,0.095073244,0.092544806,1.162666644,1.167224488,1.159667079,1.162325575,-0.074440793,-0.066325766,-0.090248984,-0.056386247,0.293212487,0.277399659,0.322198088,0.255375596,0.919263277,0.917774936,0.922134139,0.916559112,7.995963164,7.998976982,7.993708318,8.00348477,1.001193198,1.002774361,1.002236587,0.995443799,0.272470143,0.269308416,0.281324451,0.261345626,0.108485897,0.108439636,0.109339544,0.107056851
1,7,13208,18212,1.210711049,13371,0.774495915,129.6801755,1,0.725236108,0.82596091,163.4889573,160.1624176,50.24937811,19.84005864,18.02775638,100.7156228,103.4196665,-68.58038015,448.27417,0.987809438,0.65548111,0.056415193,0.167749853,0.09817267,0.022266072,0.01175552,0.01902105,0.014438114,0.024729943,0.017680283,0.010384795,0.005434176,0.009937752,0.019897314,0.009512965,0.007951336,0.013034592,0.014815795,0.009164379,0.002580507,0.001583292,0.002442673,0.009263169,0.008707402,0.003268874,0.004939535,0.004355098,0.003307473,0.004505508,0.001978914,5.214084114,279.0951872,0.019287404,0.002105745,1.084020067,0.017776761,0.029846648,0.013649435,0.021130768,0.021499962,0.010879682,0.010879682,0.001209975,0.003258753,0.023529412,0.200129838,0.18283518,0.193199002,0.189648121,0.302410575,0.40433328,0.340582555,0.357277734,0.785572584,0.700353442,0.752036325,0.739108852,0.889929185,1.020443671,0.942284921,0.964988633,0.052071425,0.045920854,0.049340158,0.048379178,2.85673754,2.9853295,2.907183151,2.928134323,-0.38623075,-0.281746497,-0.340782843,-0.327517448,0.863272647,0.790140875,0.834897377,0.82604693,0.849914463,0.80987733,0.833665698,0.827498033,10.86150855,10.92528278,10.89220382,10.89559402,2.54697308,2.550121906,2.551690146,2.551595369,2.518222919,2.294401406,2.406453312,2.381624962,0.705158374,0.674683671,0.686758967,0.684725674
1,8,14534,18954,1.202379724,14726,0.749365678,136.0340529,1,0.766803841,0.831684018,167.3381627,163.5267562,53.48831648,21.1418478,19.10497317,108.5203556,110.8040332,75.23075745,468.6173157,0.986961836,0.691187249,0.010330972,0.170940786,0.101471173,0.003514516,0.001790899,0.030087288,0.006791651,0.020584065,0.002823926,0.005379601,0.001620157,0.016230964,0.029703345,0.018173797,0.003958666,0.002558226,0.002426356,0.001072729,0.000425683,0.000447817,0.00331372,0.008262913,0.012025175,0.00067852,0.001675294,0.002256332,0.002732557,0.000578734,0.000514542,4.245578741,214.0640589,0.013839933,0.00108339,1.163757131,0.01451133,0.021271076,0.010508858,0.014728503,0.015152209,0.007843138,0.007812619,0.001715702,0.002033262,0.01608301,0.485197681,0.481118911,0.481936604,0.48177894,0.169570431,0.19668026,0.186289863,0.201268286,0.700089376,0.636246742,0.6594144,0.618613082,0.656721163,0.715238722,0.693645298,0.725871454,0.091950122,0.086223177,0.088360239,0.085455673,1.74288707,1.767407889,1.758281521,1.761891293,-0.357988102,-0.289834392,-0.315910647,-0.282411738,0.729599563,0.671325898,0.694961046,0.663145028,0.915214785,0.90165987,0.906855068,0.899711753,7.577343585,7.605852472,7.594461845,7.612524321,1.573316639,1.570727628,1.571991657,1.558614724,0.961235999,0.884713549,0.907648714,0.854186299,0.282701608,0.270348452,0.273484644,0.263863646
1,9,11760,15515,1.268467341,12100,0.689807769,122.3654242,1,0.757976152,0.788352974,143.996763,144.7342392,51.4781507,19.05796625,17,104.6073228,104.2525865,-3.216454508,432.9604615,0.971900826,0.713247691,0.00844478,0.176175633,0.083738777,0.001974574,0.004075791,0.048214424,0.001071311,0.01780271,0.004264808,0.00303853,0.004875784,0.013495857,0.028116224,0.013970821,0.005438267,0.001701851,0.001547447,0.005502302,0.001053305,0.009924576,0.010126505,0.005652122,0.006471003,0.00113224,0.002217875,0.001489035,0.002068178,0.004575098,0.003034907,5.099549903,187.8650811,0.014831769,0.001068132,0.103605841,0.015640497,0.022095064,0.013782567,0.015974922,0.015762569,0.011642634,0.011642634,0.000681238,0.001555605,0.017029069,0.521747994,0.517289644,0.520852151,0.508653922,0.182541788,0.188594923,0.185668037,0.202368234,0.509247268,0.491820518,0.499151221,0.454227959,0.686133078,0.698522877,0.692320854,0.727231503,0.07985816,0.078727014,0.079250289,0.076370621,1.541989623,1.550891269,1.54575915,1.57665092,-0.222173591,-0.207635095,-0.214476597,-0.1771177,0.565529125,0.549410199,0.556955257,0.513709599,0.908835235,0.905702538,0.907165981,0.898922721,8.246749801,8.252949589,8.242190918,8.251157407,1.35868519,1.362296346,1.360091113,1.373526523,0.561383926,0.553642533,0.555745519,0.539216965,0.185981429,0.185559364,0.185353389,0.1853963
1,10,14919,19500,1.141052079,15107,0.619539022,137.824021,1,0.765076923,0.876384188,155.7029326,154.9451516,60.46486583,22.38702193,20,121.5486325,122.2214863,-64.55883599,462.5168107,0.987555438,0.790837069,0.037989445,0.142187684,0.075171937,0.006168558,0.007245979,0.057940058,0.015322672,0.011543822,0.015370129,0.010511991,0.002334769,0.00589653,0.015586793,0.014109164,0.002020262,0.008616957,0.006144484,0.002106646,0.001052916,0.005506511,0.014486018,0.004246912,0.007008115,0.001096371,0.005124049,0.007450765,0.004742441,0.001476484,0.000177018,4.902754303,236.3964005,0.014526589,0.001297016,0.831982979,0.015548944,0.02278172,0.012412036,0.015845325,0.015671015,0.008514535,0.008514535,0.001769974,0.002057033,0.017181659,0.390848486,0.385604643,0.389966421,0.381656113,0.199091597,0.212514013,0.20348355,0.221032132,0.679920372,0.655822802,0.671243597,0.63887011,0.720107565,0.747148026,0.729328376,0.762968003,0.076890656,0.074694805,0.076172114,0.073313381,2.000823374,2.023646451,2.00599892,2.035197144,-0.343256327,-0.315551297,-0.333734445,-0.298842529,0.750702324,0.729030396,0.743146781,0.714724213,0.900454201,0.893911155,0.898341167,0.889650855,8.175830982,8.193315583,8.181780481,8.190847128,1.801731777,1.809667899,1.801719101,1.813190085,1.04492133,1.022396462,1.034415077,1.003082173,0.311003232,0.308727619,0.309474657,0.306028576
